method,F,subject,wbse
3DI,1,id0000,1.9744708239802895
3DI,1,id0001,1.8546332323994845
3DI,1,id0002,2.307675998494731
3DI,1,id0003,2.127319586918002
3DI,1,id0004,2.375596414528949
3DI,1,id0005,1.8833958389857397
3DI,1,id0006,3.1692235938998814
3DI,1,id0007,1.8824507402901427
3DI,1,id0008,2.679405301388004
3DI,1,id0009,1.1953382755484394
3DI,1,id0010,1.8764905768759408
3DI,1,id0011,1.6974410042819645
3DI,1,id0012,2.6881264775542997
3DI,1,id0013,2.1550490645628204
3DI,1,id0014,2.5326926215852428
3DI,1,id0015,1.4529212494666544
3DI,1,id0016,3.41682318455499
3DI,1,id0017,2.47212225952469
3DI,1,id0018,2.555930715887501
3DI,1,id0019,1.822802724954336
3DI,1,id0020,2.092374263489888
3DI,1,id0021,1.6361588954717476
3DI,1,id0022,2.409543210963474
3DI,1,id0023,2.553636083183247
3DI,1,id0024,1.8217267572206028
3DI,1,id0025,1.5384470431142399
3DI,1,id0026,3.1666073589652513
3DI,1,id0027,1.6675004318406639
3DI,1,id0028,1.6092713128057945
3DI,1,id0029,1.3489392032908791
3DI,1,id0030,2.8738408975625678
3DI,1,id0031,1.727568731119198
3DI,1,id0032,3.9805847460178616
3DI,1,id0033,1.6544236286032044
3DI,1,id0034,3.8827481295005146
3DI,1,id0035,2.0310635511936295
3DI,1,id0036,2.367687982123337
3DI,1,id0037,1.625887526100347
3DI,1,id0038,1.7237655284964513
3DI,1,id0039,1.2871551052987278
3DI,1,id0040,2.017275859541884
3DI,1,id0041,2.634270219679265
3DI,1,id0042,3.101201634786953
3DI,1,id0043,1.7308744660709727
3DI,1,id0044,3.3756102721813748
3DI,1,id0045,2.4439419050350466
3DI,1,id0046,4.049526741303631
3DI,1,id0047,1.1496007148367828
3DI,1,id0048,2.6002781377276096
3DI,1,id0049,2.5788750252963997
3DI,1,id0050,1.743580731448655
3DI,1,id0051,1.4261732767735145
3DI,1,id0052,2.603159055861527
3DI,1,id0053,1.72591063342101
3DI,1,id0054,1.0792604446111937
3DI,1,id0055,1.635328281259834
3DI,1,id0056,3.407815396963074
3DI,1,id0057,2.2111859921046846
3DI,1,id0058,1.9771393046384083
3DI,1,id0059,2.061220063225644
3DI,1,id0060,3.6875767961711308
3DI,1,id0061,1.4603626683088078
3DI,1,id0062,3.020338277497628
3DI,1,id0063,1.431025128934446
3DI,1,id0064,2.2465075786599384
3DI,1,id0065,1.5111203424061268
3DI,1,id0066,1.9259432467351478
3DI,1,id0067,1.6799910897799066
3DI,1,id0068,2.722368550950688
3DI,1,id0069,1.6956488314320655
3DI,1,id0070,2.9057723694291107
3DI,1,id0071,1.7287601124111345
3DI,1,id0072,3.0292298563293376
3DI,1,id0073,1.9789994572612561
3DI,1,id0074,1.715015408912341
3DI,1,id0075,1.4455218588608552
3DI,1,id0076,2.5706025082607753
3DI,1,id0077,1.3428883583120506
3DI,1,id0078,2.216451571041105
3DI,1,id0079,1.7424105401966214
3DI,1,id0080,1.5988564832667291
3DI,1,id0081,1.7586504526015783
3DI,1,id0082,2.330696269894041
3DI,1,id0083,1.965286658588682
3DI,1,id0084,1.9869603875515947
3DI,1,id0085,1.819291116787238
3DI,1,id0086,2.0140418549430694
3DI,1,id0087,1.9310140615793454
3DI,1,id0088,2.534089511753592
3DI,1,id0089,1.5277058800603658
3DI,1,id0090,2.642828515626951
3DI,1,id0091,1.804698092346423
3DI,1,id0092,2.0243558034420728
3DI,1,id0093,1.8755758435497083
3DI,1,id0094,2.6144914784904776
3DI,1,id0095,1.196282314363824
3DI,1,id0096,3.0395780360153895
3DI,1,id0097,2.1855069242381577
3DI,1,id0098,2.110544332407979
