method,F,subject,within
3DI,1,id0000,221.5642505537203
3DI,1,id0001,181.96901718000163
3DI,1,id0002,170.76156632891784
3DI,1,id0003,151.55775899920647
3DI,1,id0004,137.49283391143118
3DI,1,id0005,202.7197168124451
3DI,1,id0006,151.28386453292043
3DI,1,id0007,151.59015341747013
3DI,1,id0008,156.1761129398835
3DI,1,id0009,206.97421959421354
3DI,1,id0010,191.99615278425145
3DI,1,id0011,198.11118436311344
3DI,1,id0012,101.24103448754776
3DI,1,id0013,120.42803600345927
3DI,1,id0014,176.80297624792047
3DI,1,id0015,178.8777062077718
3DI,1,id0016,115.55426605362335
3DI,1,id0017,161.19991411362403
3DI,1,id0018,147.14870608672084
3DI,1,id0019,147.19561493630997
3DI,1,id0020,247.5176196226901
3DI,1,id0021,169.91260458076238
3DI,1,id0022,133.30559414270135
3DI,1,id0023,104.97709974339033
3DI,1,id0024,195.3741454919685
3DI,1,id0025,165.39216913508722
3DI,1,id0026,125.2453835195981
3DI,1,id0027,208.61837456907423
3DI,1,id0028,230.44340071344337
3DI,1,id0029,261.4603047767774
3DI,1,id0030,181.1508126484733
3DI,1,id0031,146.05220477531157
3DI,1,id0032,47.93207222413468
3DI,1,id0033,144.11041933189992
3DI,1,id0034,126.45210080225506
3DI,1,id0035,223.9199624741318
3DI,1,id0036,219.17190003568427
3DI,1,id0037,165.50118422655933
3DI,1,id0038,210.02740914043872
3DI,1,id0039,207.15660108940133
3DI,1,id0040,232.3858211500913
3DI,1,id0041,67.24129080661514
3DI,1,id0042,160.47515539082335
3DI,1,id0043,163.70201999206037
3DI,1,id0044,197.08467290614303
3DI,1,id0045,114.13817419689748
3DI,1,id0046,73.92543254425844
3DI,1,id0047,221.87189344657216
3DI,1,id0048,157.14885458521732
3DI,1,id0049,77.48010162357255
3DI,1,id0050,201.60199105167283
3DI,1,id0051,193.99324136725295
3DI,1,id0052,147.12904413968795
3DI,1,id0053,151.93695904413258
3DI,1,id0054,253.95743363165516
3DI,1,id0055,185.4104577119408
3DI,1,id0056,82.32773504996032
3DI,1,id0057,104.83833989125213
3DI,1,id0058,186.196378228066
3DI,1,id0059,142.01430061447817
3DI,1,id0060,120.09953084428388
3DI,1,id0061,201.99534321799698
3DI,1,id0062,145.78429604476983
3DI,1,id0063,174.81944927575123
3DI,1,id0064,187.70022478943824
3DI,1,id0065,163.28236802010966
3DI,1,id0066,153.5256741179953
3DI,1,id0067,184.72572753720024
3DI,1,id0068,111.41125231463086
3DI,1,id0069,175.16743840344304
3DI,1,id0070,153.45105989949863
3DI,1,id0071,192.00073651439706
3DI,1,id0072,154.27664780352362
3DI,1,id0073,161.64458307003602
3DI,1,id0074,201.83015119058766
3DI,1,id0075,180.31422711829615
3DI,1,id0076,221.48655089376584
3DI,1,id0077,179.41472456632178
3DI,1,id0078,175.4466413675017
3DI,1,id0079,133.53076724069282
3DI,1,id0080,246.50539378415888
3DI,1,id0081,146.17288547184253
3DI,1,id0082,163.3707883559209
3DI,1,id0083,145.0537720306687
3DI,1,id0084,174.69440622460536
3DI,1,id0085,148.2214683253285
3DI,1,id0086,231.42775272825727
3DI,1,id0087,129.74084668943524
3DI,1,id0088,201.72090699444524
3DI,1,id0089,222.5014606231034
3DI,1,id0090,143.80106919029558
3DI,1,id0091,184.65367346994978
3DI,1,id0092,163.75517404735123
3DI,1,id0093,187.95380153602272
3DI,1,id0094,161.4234726762564
3DI,1,id0095,208.52099405770525
3DI,1,id0096,209.7182979649546
3DI,1,id0097,114.4523886521773
3DI,1,id0098,184.78145327649557
