method,F,subject,wbse
FaceVerse,1,id0000,1.7298912846719412
FaceVerse,1,id0001,0.6381756864270045
FaceVerse,1,id0002,-1.9029784545352177
FaceVerse,1,id0003,0.04648121018294603
FaceVerse,1,id0004,-0.4992987664381098
FaceVerse,1,id0005,-2.181525316294026
FaceVerse,1,id0006,0.27719876308749947
FaceVerse,1,id0007,-1.5929915233639285
FaceVerse,1,id0008,-2.966350604756851
FaceVerse,1,id0009,0.3533578613644824
FaceVerse,1,id0010,1.4088402856809747
FaceVerse,1,id0011,-0.8040667094921458
FaceVerse,1,id0012,-3.8965542254960326
FaceVerse,1,id0013,-1.7153386612199313
FaceVerse,1,id0014,-0.4929647915727834
FaceVerse,1,id0015,-2.007842333553253
FaceVerse,1,id0016,-0.8110573765071141
FaceVerse,1,id0017,0.17254521581103446
FaceVerse,1,id0018,0.7392599594050294
FaceVerse,1,id0019,-0.49596778659244345
FaceVerse,1,id0020,1.9468347409103202
FaceVerse,1,id0021,-0.37821611698024776
FaceVerse,1,id0022,1.0785956638870227
FaceVerse,1,id0023,0.9653014124393563
FaceVerse,1,id0024,-1.5111750852508499
FaceVerse,1,id0025,-1.7514241891586972
FaceVerse,1,id0026,0.6898967125452408
FaceVerse,1,id0027,-0.7225916544622766
FaceVerse,1,id0028,-0.48238769026474404
FaceVerse,1,id0029,0.9132921696065571
FaceVerse,1,id0030,0.08430154195824772
FaceVerse,1,id0031,-0.9711423103944049
FaceVerse,1,id0032,1.1994211078163546
FaceVerse,1,id0033,-2.4464573940695855
FaceVerse,1,id0034,2.1846173768687662
FaceVerse,1,id0035,0.28211851431805723
FaceVerse,1,id0036,-0.8973766912143534
FaceVerse,1,id0037,-0.37733343345863396
FaceVerse,1,id0038,0.3950557503825959
FaceVerse,1,id0039,0.8916108899630043
FaceVerse,1,id0040,-0.7457879995663735
FaceVerse,1,id0041,0.2911130991318367
FaceVerse,1,id0042,-0.125481268822496
FaceVerse,1,id0043,-0.37161248234450794
FaceVerse,1,id0044,1.201717627077048
FaceVerse,1,id0045,-2.144348345494026
FaceVerse,1,id0046,-1.1134307700210369
