method,F,subject,within
INORig,1,id0000,127342.90760791443
INORig,1,id0001,106704.09584898315
INORig,1,id0002,81603.26481081486
INORig,1,id0003,96323.85099786964
INORig,1,id0004,83703.70665786769
INORig,1,id0005,76756.92655343692
INORig,1,id0006,84916.61763739346
INORig,1,id0007,102221.91723806702
INORig,1,id0008,80037.20932889129
INORig,1,id0009,83267.47015014004
INORig,1,id0010,86591.18239767668
INORig,1,id0011,77899.31788519178
INORig,1,id0012,93171.03756402688
INORig,1,id0013,88404.48558664136
INORig,1,id0014,85246.26892138983
INORig,1,id0015,95660.13005425427
INORig,1,id0016,63512.790114449825
INORig,1,id0017,109510.16364534553
INORig,1,id0018,86965.33965153097
INORig,1,id0019,68861.45371673482
INORig,1,id0020,106454.94693178909
INORig,1,id0021,57051.31072082807
INORig,1,id0022,117905.56399076518
INORig,1,id0023,66252.87966851138
INORig,1,id0024,105304.3970318229
INORig,1,id0025,79519.67330492052
INORig,1,id0026,98639.27081911471
INORig,1,id0027,84338.04196531263
INORig,1,id0028,99118.82903379675
INORig,1,id0029,111435.37612043561
INORig,1,id0030,95627.40647899616
INORig,1,id0031,80861.0184442294
INORig,1,id0032,114739.54870362271
INORig,1,id0033,94672.19150364335
INORig,1,id0034,73983.86185268887
INORig,1,id0035,98958.43606016769
INORig,1,id0036,56278.521542299684
INORig,1,id0037,73143.70879524341
INORig,1,id0038,94826.72960537703
INORig,1,id0039,95556.31404597533
INORig,1,id0040,111952.96451390286
INORig,1,id0041,74648.0747921783
INORig,1,id0042,76364.19839970174
INORig,1,id0043,80723.04458591946
INORig,1,id0044,95506.1921609869
INORig,1,id0045,100120.20604461519
INORig,1,id0046,78992.37717180657
INORig,1,id0047,77789.33862019313
INORig,1,id0048,77690.97040497966
INORig,1,id0049,96230.22709650082
INORig,1,id0050,75123.83298294224
INORig,1,id0051,86223.39422761806
INORig,1,id0052,79970.29878908943
INORig,1,id0053,90770.75313581324
INORig,1,id0054,103140.09033558988
INORig,1,id0055,60827.502225346805
INORig,1,id0056,81593.75303032983
INORig,1,id0057,105174.46478739008
INORig,1,id0058,90320.5227231706
INORig,1,id0059,118889.14586508721
INORig,1,id0060,69811.77600334637
INORig,1,id0061,79553.52313789404
INORig,1,id0062,100161.73559450381
INORig,1,id0063,98829.46463626169
INORig,1,id0064,96136.25600069201
INORig,1,id0065,73593.85262597898
INORig,1,id0066,76252.09818997026
INORig,1,id0067,85949.89018184153
INORig,1,id0068,79891.71651604855
INORig,1,id0069,67844.10568672861
INORig,1,id0070,78747.42833678341
INORig,1,id0071,118605.95926140492
INORig,1,id0072,97454.45570222229
INORig,1,id0073,102694.7492078254
INORig,1,id0074,60908.29379882098
INORig,1,id0075,71300.37045492348
INORig,1,id0076,75884.61616893641
INORig,1,id0077,147507.05281804295
INORig,1,id0078,104885.66028478263
INORig,1,id0079,90416.29795816373
