F,wbse,within_mean,between_mean,n_subjects,type,compare,F1,F2
1.0,0.8756446571980765,0.1436322406593873,0.20633978115687174,99,inter,F,,
3.0,1.3763103562105625,0.08536674943862434,0.1687849780546952,99,inter,F,,
5.0,1.5848673217094607,0.06543982712756878,0.15947932809463305,99,inter,F,,
10.0,1.945328645457906,0.04499684565991698,0.1498113561439033,99,inter,F,,
15.0,1.996862271374148,0.03806435106854794,0.14811634544697075,99,inter,F,,
,1.631832938535274,0.06568410018378681,0.15812652567467383,99,intra,F1_vs_F2,1.0,3.0
,1.6824287062851848,0.061957971849263126,0.15673864077864214,99,intra,F1_vs_F2,1.0,5.0
,1.7521933956518465,0.058706149510173694,0.15478018468499768,99,intra,F1_vs_F2,1.0,10.0
,1.7273504597782232,0.05897240374795404,0.15450267540030266,99,intra,F1_vs_F2,1.0,15.0
,2.0073191845774057,0.03736178502413511,0.15055928037661723,99,intra,F1_vs_F2,3.0,5.0
,2.1316987083866517,0.03148214617451656,0.1484889784941389,99,intra,F1_vs_F2,3.0,10.0
,2.138173097993766,0.029760949933764165,0.148206219214791,99,intra,F1_vs_F2,3.0,15.0
,2.2335764558706637,0.025475692611191657,0.14745099533673334,99,intra,F1_vs_F2,5.0,10.0
,2.252743934558343,0.022906136953762802,0.14715180257461014,99,intra,F1_vs_F2,5.0,15.0
,2.461999485644456,0.013354488626703494,0.14444131111452818,99,intra,F1_vs_F2,10.0,15.0
