metric,gt_quantile,count,gt_mean,metric_mean,metric_median,metric_q10,metric_q90
latent_distance,"(0.227, 0.317]",60,0.2801013042529424,0.3794471129775047,0.37975308299064636,0.32556860744953153,0.4527446895837784
latent_distance,"(0.317, 0.343]",61,0.3296404905983659,0.4427272237715174,0.4402810931205749,0.3960215747356415,0.5009750127792358
latent_distance,"(0.343, 0.408]",61,0.37713601696686666,0.4963569401717577,0.509319007396698,0.4060564637184143,0.5744659900665283
latent_distance,"(0.408, 0.508]",67,0.46532668862769855,0.5986927316259982,0.6088177561759949,0.48369941115379333,0.6985376119613648
latent_distance,"(0.508, 0.631]",51,0.5495266820870194,0.679306850713842,0.7220436334609985,0.541333019733429,0.7937484979629517
raw_chamfer,"(0.227, 0.317]",60,0.2801013042529424,0.005490004420668461,0.00355883163865655,0.00146341470535841,0.01135127712041132
raw_chamfer,"(0.317, 0.343]",61,0.3296404905983659,0.006052290085611482,0.0038630363997071,0.0019037005258724,0.015733852982521
raw_chamfer,"(0.343, 0.408]",61,0.37713601696686666,0.006122481770676007,0.0036951857618987,0.0018489484209567,0.0136236203834414
raw_chamfer,"(0.408, 0.508]",67,0.46532668862769855,0.007780517371538141,0.0054916888475418,0.0030026617459952202,0.017053964734077418
raw_chamfer,"(0.508, 0.631]",51,0.5495266820870194,0.008671504399720892,0.0066061057150363,0.0025537512265145,0.0213517658412456
rigid_registered_chamfer,"(0.227, 0.317]",60,0.2801013042529424,0.0055822402122430075,0.0031366304028779,0.0011034522671252301,0.01183586008846756
rigid_registered_chamfer,"(0.317, 0.343]",61,0.3296404905983659,0.005666386086081457,0.0034964890219271,0.0011996929533779,0.0120043121278285
rigid_registered_chamfer,"(0.343, 0.408]",61,0.37713601696686666,0.010262618179158182,0.0034568440169095,0.0016000564210116,0.0124137187376618
rigid_registered_chamfer,"(0.408, 0.508]",67,0.46532668862769855,0.01120660475927831,0.0052114748395979,0.00271889725700016,0.017099217325448977
rigid_registered_chamfer,"(0.508, 0.631]",51,0.5495266820870194,0.006947967230670985,0.0054059433750808,0.0022725402377545,0.0128062907606363
nicp_correspondence,"(0.227, 0.317]",60,0.2801013042529424,0.10004319736513388,0.09661272997421495,0.08358473558743176,0.11626602277138565
nicp_correspondence,"(0.317, 0.343]",61,0.3296404905983659,0.10135829743182857,0.0963560171700035,0.0832990535001093,0.1236299324048064
nicp_correspondence,"(0.343, 0.408]",61,0.37713601696686666,0.10301580849931374,0.096530778354826,0.0835703573026134,0.1162098326567001
nicp_correspondence,"(0.408, 0.508]",67,0.46532668862769855,0.10956420229554764,0.1031100581128851,0.08823335643143088,0.13205345223395445
nicp_correspondence,"(0.508, 0.631]",51,0.5495266820870194,0.10437299668317258,0.1030354073945638,0.0870953534131626,0.122119557753616
