scenario,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,raw_chamfer,rigid_registered_chamfer,nicp_correspondence,metric,metric_value,gt_rank,raw_abs_rank_error,metric_abs_rank_error,extra_abs_rank_error_vs_raw
clean,id0051,down8k,id0051_GTready_down8k,id0456,up60k,id0456_GTready_up60k,0.3238519430160522,0.003626013174653,0.0113644320517778,0.1161667089894551,rigid_registered_chamfer,0.0113644320517778,104.0,5.0,148.0,143.0
clean,id0084,down8k,id0084_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.4944345653057098,0.0070289145223796,0.0026604835875332,0.0979700628160587,rigid_registered_chamfer,0.0026604835875332,239.0,42.0,145.0,103.0
clean,id0084,noisy,id0084_GTready_noisy,id0158,original,id0158_GTready_original,0.4726081490516662,0.0053576445206999,0.0021141013130545,0.0908844675714308,rigid_registered_chamfer,0.0021141013130545,224.5,62.5,157.5,95.0
clean,id0084,original,id0084_GTready_original,id0478,noisy,id0478_GTready_noisy,0.4944345653057098,0.0059272972866892,0.0024329444859176,0.0870953526353923,rigid_registered_chamfer,0.0024329444859176,239.0,62.0,153.0,91.0
clean,id0051,down8k,id0051_GTready_down8k,id0456,original,id0456_GTready_original,0.3238519430160522,0.005241451319307,0.0098264645785093,0.1130507703823023,rigid_registered_chamfer,0.0098264645785093,104.0,55.0,135.0,80.0
clean,id0051,up60k,id0051_GTready_up60k,id0456,original,id0456_GTready_original,0.3238519430160522,0.0035895011387765,0.0054642846807837,0.1084566528138037,rigid_registered_chamfer,0.0054642846807837,104.0,3.0,80.0,77.0
clean,id0456,original,id0456_GTready_original,id0485,remesh,id0485_GTready_remesh,0.5342631936073303,0.007596606388688,0.0037707996089011,0.0966581403115258,rigid_registered_chamfer,0.0037707996089011,251.5,41.5,115.5,74.0
clean,id0158,noisy,id0158_GTready_noisy,id0267,remesh,id0267_GTready_remesh,0.3337112963199615,0.0031929470133036,0.0013374664122238,0.0871748978029592,rigid_registered_chamfer,0.0013374664122238,127.5,36.5,109.5,73.0
clean,id0084,down8k,id0084_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.4944345653057098,0.008928439579904,0.0044346461072564,0.1015980793886474,rigid_registered_chamfer,0.0044346461072564,239.0,12.0,83.0,71.0
clean,id0084,down8k,id0084_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.3498280942440033,0.0048322780057787,0.0019657963421195,0.0905339589350446,rigid_registered_chamfer,0.0019657963421195,140.0,10.0,81.0,71.0
clean,id0051,crop,id0051_GTready_crop,id0084,noisy,id0084_GTready_noisy,0.7593971490859985,0.0180010013282299,0.0080325100570917,0.1175533303630503,rigid_registered_chamfer,0.0080325100570917,297.5,13.5,81.5,68.0
clean,id0084,crop,id0084_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.3498280942440033,0.006447228603065,0.0114885233342647,0.1126425390800832,rigid_registered_chamfer,0.0114885233342647,140.0,48.0,114.0,66.0
clean,id0084,original,id0084_GTready_original,id0478,down8k,id0478_GTready_down8k,0.4944345653057098,0.0045155528932809,0.0022570320870727,0.0824603473417552,rigid_registered_chamfer,0.0022570320870727,239.0,101.0,166.0,65.0
clean,id0051,original,id0051_GTready_original,id0456,remesh,id0456_GTready_remesh,0.3238519430160522,0.0046849218197166,0.0075386115349829,0.1113612238891102,rigid_registered_chamfer,0.0075386115349829,104.0,40.0,105.0,65.0
clean,id0059,original,id0059_GTready_original,id0068,remesh,id0068_GTready_remesh,0.3154456615447998,0.002940725069493,0.0039760936051607,0.1018727821089328,rigid_registered_chamfer,0.0039760936051607,77.0,3.0,68.0,65.0
clean,id0084,up60k,id0084_GTready_up60k,id0485,down8k,id0485_GTready_down8k,0.3498280942440033,0.0031420993618667,0.0014589964412152,0.0763774031594088,rigid_registered_chamfer,0.0014589964412152,140.0,51.0,113.0,62.0
