metric,gt_quantile,count,gt_mean,metric_mean,metric_median,metric_q10,metric_q90
latent_distance,"(0.206, 0.296]",61,0.25865245134126946,0.41029980632125357,0.4093797206878662,0.3220687806606293,0.4965083301067352
latent_distance,"(0.296, 0.328]",61,0.3194421896191894,0.4239940037492846,0.4211530089378357,0.3549526929855346,0.4999086558818817
latent_distance,"(0.328, 0.398]",59,0.3634909280275894,0.5135234786292254,0.5131035447120667,0.3956954419612884,0.6216763257980347
latent_distance,"(0.398, 0.494]",61,0.450387888267392,0.5883980315239703,0.5964009165763855,0.4196523427963257,0.7393330931663513
latent_distance,"(0.494, 0.759]",58,0.6144349020102928,0.6504471610332357,0.662773996591568,0.4958391100168228,0.7812035858631134
raw_chamfer,"(0.206, 0.296]",61,0.25865245134126946,0.005019251096871493,0.0031379521824419,0.0013826431240886,0.0111374389380216
raw_chamfer,"(0.296, 0.328]",61,0.3194421896191894,0.005700852695211235,0.003737716935575,0.0018574143759906,0.0133511144667863
raw_chamfer,"(0.328, 0.398]",59,0.3634909280275894,0.006109766026769356,0.0044681243598461,0.0020615722984075402,0.01348768230527636
raw_chamfer,"(0.398, 0.494]",61,0.450387888267392,0.007276146859693916,0.0052035385742783,0.0023938985541462,0.0167926028370857
raw_chamfer,"(0.494, 0.759]",58,0.6144349020102928,0.00995440088646031,0.007878709584474501,0.00372395738959308,0.019877603277563983
rigid_registered_chamfer,"(0.206, 0.296]",61,0.25865245134126946,0.005235535315940208,0.0024389876052737,0.0009776235092431,0.0119118504226207
rigid_registered_chamfer,"(0.296, 0.328]",61,0.3194421896191894,0.0051253253010055295,0.0029400647617876,0.001482079969719,0.0120043121278285
rigid_registered_chamfer,"(0.328, 0.398]",59,0.3634909280275894,0.00530842108399429,0.0038005751557648,0.0018443279899656199,0.009866589866578544
rigid_registered_chamfer,"(0.398, 0.494]",61,0.450387888267392,0.011458597174601305,0.0045546274632215,0.0021208929829299,0.0121270650997757
rigid_registered_chamfer,"(0.494, 0.759]",58,0.6144349020102928,0.01323463364327643,0.0082799396477639,0.00349667742848393,0.018466438166797154
nicp_correspondence,"(0.206, 0.296]",61,0.25865245134126946,0.09888997668233007,0.0926038116448377,0.0827635681110385,0.1160623199267815
nicp_correspondence,"(0.296, 0.328]",61,0.3194421896191894,0.0979721609427101,0.0948798880474958,0.0832990535001093,0.1179693315584234
nicp_correspondence,"(0.328, 0.398]",59,0.3634909280275894,0.10011819398754725,0.0963560171700035,0.0866603860689589,0.11632723852541646
nicp_correspondence,"(0.398, 0.494]",61,0.450387888267392,0.10693146484827364,0.1003327869316187,0.087684955760078,0.1186255366982333
nicp_correspondence,"(0.494, 0.759]",58,0.6144349020102928,0.11542850848644443,0.1100060652524758,0.09447942826855367,0.13154040336570802
