scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16857710629701614,0.1469917595386505,0.426232483320766,0.4141089916229248,0.25765537702374985,0.9977777777777778,0.8789617984506727,0.8701886242684058
clean,raw_chamfer,0.003569152904674411,0.000963284051977098,0.005236191834167888,0.003265659906901419,0.001667038929493477,0.6891358024691357,0.2530027107578515,0.1486417736946544
clean,template_icp_chamfer,0.0032253616431262345,0.0021137401927262545,0.004510185801579306,0.0029991668416187167,0.0012848241584530718,0.6158024691358025,0.20219264255182337,0.18898634064503636
translation,latent_distance,0.19071469224161572,0.1814916878938675,0.44284010661972895,0.43697282671928406,0.2521254143781132,0.9891358024691358,0.8464852600097061,0.8367353832684462
translation,raw_chamfer,0.003564895340241492,0.0011049475288018584,0.0053838155833849065,0.0035067510325461626,0.0018189202431434146,0.6918518518518518,0.20900223932170345,0.12566716802022918
translation,template_icp_chamfer,0.0037291473230450516,0.0019410059321671724,0.004852608743951553,0.00296291580889374,0.0011234614209065011,0.6264197530864197,0.16238269220483226,0.10712263738986244
rotation,latent_distance,0.19903243399328654,0.18507002294063568,0.44182788994577193,0.43167489767074585,0.2427954559524854,0.9920987654320987,0.8370565875591028,0.8292947111622395
rotation,raw_chamfer,0.003685597969322569,0.0010996157070621848,0.005358288832940161,0.0035581939155235887,0.0016726908636175925,0.685679012345679,0.24828837453254993,0.15642314505172805
rotation,template_icp_chamfer,0.003258392280097016,0.0020004557445645332,0.004442595649096701,0.0029259045841172338,0.0011842033689996845,0.6182716049382716,0.17914477656146008,0.16522113128589863
mixed,latent_distance,0.25630461507373387,0.2570336163043976,0.43064485159185195,0.4365716278553009,0.17434023651811809,0.9782716049382716,0.806675309662715,0.7929615509789731
mixed,raw_chamfer,0.0014624775245061351,0.0011809405405074358,0.0016953194067658235,0.00136047339765355,0.0002328418822596884,0.5809876543209876,0.14509679271205977,0.110865813955806
mixed,template_icp_chamfer,0.0016849540885434382,0.0012883484596386552,0.0019392827267034186,0.0015194615116342902,0.00025432863815998043,0.571604938271605,0.1063344726373579,0.1465287660765336
