scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
translation,0,same_subject,id0478,crop,id0478_GTready_crop,id0478,down8k,id0478_GTready_down8k,0.0,0.29518142342567444,0.011638574302196503,0.013054298236966133
translation,1,same_subject,id0478,crop,id0478_GTready_crop,id0478,noisy,id0478_GTready_noisy,0.0,0.30397024750709534,0.004438714124262333,0.005223453044891357
translation,2,same_subject,id0478,crop,id0478_GTready_crop,id0478,original,id0478_GTready_original,0.0,0.2580544352531433,0.005373059306293726,0.009987803176045418
translation,3,same_subject,id0478,crop,id0478_GTready_crop,id0478,remesh,id0478_GTready_remesh,0.0,0.34372571110725403,0.0055320365354418755,0.007423396222293377
translation,4,same_subject,id0478,crop,id0478_GTready_crop,id0478,up60k,id0478_GTready_up60k,0.0,0.3020934760570526,0.008515385910868645,0.009342694655060768
translation,5,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.0,0.18363988399505615,0.0015294598415493965,0.002889990573748946
translation,6,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,original,id0478_GTready_original,0.0,0.12098638713359833,0.0015523249749094248,0.0007089083082973957
translation,7,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,remesh,id0478_GTready_remesh,0.0,0.13752885162830353,0.002108948538079858,0.0019410059321671724
translation,8,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.0,0.06539157032966614,0.0004480959032662213,0.0010153994662687182
translation,9,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,original,id0478_GTready_original,0.0,0.1286880522966385,0.0001804424391593784,0.0017199376598000526
translation,10,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,remesh,id0478_GTready_remesh,0.0,0.18186336755752563,0.0006239111535251141,0.0017799463821575046
translation,11,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,up60k,id0478_GTready_up60k,0.0,0.1814916878938675,0.0006992608541622758,0.0012344029964879155
translation,12,same_subject,id0478,original,id0478_GTready_original,id0478,remesh,id0478_GTready_remesh,0.0,0.1523635983467102,0.0006525532808154821,0.0006623957306146622
