scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
rotation,0,same_subject,id0478,crop,id0478_GTready_crop,id0478,down8k,id0478_GTready_down8k,0.0,0.3103443384170532,0.013405652716755867,0.007727130316197872
rotation,1,same_subject,id0478,crop,id0478_GTready_crop,id0478,noisy,id0478_GTready_noisy,0.0,0.27946707606315613,0.004966404289007187,0.0036293582525104284
rotation,2,same_subject,id0478,crop,id0478_GTready_crop,id0478,original,id0478_GTready_original,0.0,0.22858232259750366,0.005369734950363636,0.0044167786836624146
rotation,3,same_subject,id0478,crop,id0478_GTready_crop,id0478,remesh,id0478_GTready_remesh,0.0,0.2877625823020935,0.006629385519772768,0.004313834942877293
rotation,4,same_subject,id0478,crop,id0478_GTready_crop,id0478,up60k,id0478_GTready_up60k,0.0,0.31754836440086365,0.00982959195971489,0.0060709076933562756
rotation,5,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.0,0.20569895207881927,0.0018965775379911065,0.0007983926916494966
rotation,6,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,original,id0478_GTready_original,0.0,0.18845798075199127,0.002512629609555006,0.0009209996787831187
rotation,7,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,remesh,id0478_GTready_remesh,0.0,0.15780100226402283,0.0024535548873245716,0.0013822457985952497
rotation,8,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.0,0.09546570479869843,0.000616039615124464,0.0003178578626830131
rotation,9,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,original,id0478_GTready_original,0.0,0.13660983741283417,0.0002248881501145661,0.00032756623113527894
rotation,10,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,remesh,id0478_GTready_remesh,0.0,0.19644582271575928,0.0007582393009215593,0.0005128168850205839
rotation,11,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,up60k,id0478_GTready_up60k,0.0,0.19919775426387787,0.0007600735407322645,0.0005667537916451693
rotation,12,same_subject,id0478,original,id0478_GTready_original,id0478,remesh,id0478_GTready_remesh,0.0,0.15645582973957062,0.0007430895930156112,0.0010919658234342933
