scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16857710629701614,0.1469917595386505,0.426232483320766,0.4141089916229248,0.25765537702374985,0.9977777777777778,0.8789617984506727,0.8701886242684058
clean,raw_chamfer,0.003569152904674411,0.000963284051977098,0.005236191834167888,0.003265659906901419,0.001667038929493477,0.6891358024691357,0.2530027107578515,0.1486417736946544
clean,template_icp_chamfer,0.0028604204569193017,0.0020151096396148205,0.004211617362711371,0.0030639696633443236,0.0013511969057920696,0.6503703703703704,0.11419169967952719,0.1125560231581916
translation,latent_distance,0.19071469224161572,0.1814916878938675,0.44284010661972895,0.43697282671928406,0.2521254143781132,0.9891358024691358,0.8464852600097061,0.8367353832684462
translation,raw_chamfer,0.003564895340241492,0.0011049475288018584,0.0053838155833849065,0.0035067510325461626,0.0018189202431434146,0.6918518518518518,0.20900223932170345,0.12566716802022918
translation,template_icp_chamfer,0.0028011168534350065,0.0015394395450130105,0.004245530070167863,0.0030328811844810843,0.0014444132167328563,0.6720987654320988,0.09952487586747782,0.06126418260283068
rotation,latent_distance,0.19903243399328654,0.18507002294063568,0.44182788994577193,0.43167489767074585,0.2427954559524854,0.9920987654320987,0.8370565875591028,0.8292947111622395
rotation,raw_chamfer,0.003685597969322569,0.0010996157070621848,0.005358288832940161,0.0035581939155235887,0.0016726908636175925,0.685679012345679,0.24828837453254993,0.15642314505172805
rotation,template_icp_chamfer,0.0026803006243426354,0.0014855236513540149,0.004097353713586926,0.003068290534429252,0.001417053089244291,0.6975308641975309,0.08485805205542847,0.11639738284153205
mixed,latent_distance,0.25630461507373387,0.2570336163043976,0.43064485159185195,0.4365716278553009,0.17434023651811809,0.9782716049382716,0.806675309662715,0.7929615509789731
mixed,raw_chamfer,0.0014624775245061351,0.0011809405405074358,0.0016953194067658235,0.00136047339765355,0.0002328418822596884,0.5809876543209876,0.14509679271205977,0.110865813955806
mixed,template_icp_chamfer,0.0016881092723148563,0.0015364063438028097,0.001863100288513427,0.001579185773152858,0.0001749910161985707,0.5706172839506173,0.13671575053374588,0.10519987905515435
