scenario,pair_index,pair_type,subject_a,topology_a,sample_name_a,subject_b,topology_b,sample_name_b,gt_distance,latent_distance,raw_chamfer,template_icp_chamfer
rotation,0,same_subject,id0478,crop,id0478_GTready_crop,id0478,down8k,id0478_GTready_down8k,0.0,0.3103443384170532,0.013405652716755867,0.008941063657402992
rotation,1,same_subject,id0478,crop,id0478_GTready_crop,id0478,noisy,id0478_GTready_noisy,0.0,0.27946707606315613,0.004966404289007187,0.004436902701854706
rotation,2,same_subject,id0478,crop,id0478_GTready_crop,id0478,original,id0478_GTready_original,0.0,0.22858232259750366,0.005369734950363636,0.004666413180530071
rotation,3,same_subject,id0478,crop,id0478_GTready_crop,id0478,remesh,id0478_GTready_remesh,0.0,0.2877625823020935,0.006629385519772768,0.00353524973616004
rotation,4,same_subject,id0478,crop,id0478_GTready_crop,id0478,up60k,id0478_GTready_up60k,0.0,0.31754836440086365,0.00982959195971489,0.005882073659449816
rotation,5,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,noisy,id0478_GTready_noisy,0.0,0.20569895207881927,0.0018965775379911065,0.0007239392725750804
rotation,6,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,original,id0478_GTready_original,0.0,0.18845798075199127,0.002512629609555006,0.0014019543305039406
rotation,7,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,remesh,id0478_GTready_remesh,0.0,0.15780100226402283,0.0024535548873245716,0.0016500516794621944
rotation,8,same_subject,id0478,down8k,id0478_GTready_down8k,id0478,up60k,id0478_GTready_up60k,0.0,0.09546570479869843,0.000616039615124464,0.0005234734853729606
rotation,9,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,original,id0478_GTready_original,0.0,0.13660983741283417,0.0002248881501145661,0.00029366297530941665
rotation,10,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,remesh,id0478_GTready_remesh,0.0,0.19644582271575928,0.0007582393009215593,0.0004454893642105162
rotation,11,same_subject,id0478,noisy,id0478_GTready_noisy,id0478,up60k,id0478_GTready_up60k,0.0,0.19919775426387787,0.0007600735407322645,0.00022970017744228244
rotation,12,same_subject,id0478,original,id0478_GTready_original,id0478,remesh,id0478_GTready_remesh,0.0,0.15645582973957062,0.0007430895930156112,0.0005761473439633846
rotation,13,same_subject,id0478,original,id0478_GTready_original,id0478,up60k,id0478_GTready_up60k,0.0,0.18062017858028412,0.0010771667584776878,0.00045764638343825936
rotation,14,same_subject,id0478,remesh,id0478_GTready_remesh,id0478,up60k,id0478_GTready_up60k,0.0,0.12540405988693237,0.0009048214415088296,0.0008588008349761367
rotation,15,same_subject,id0485,crop,id0485_GTready_crop,id0485,down8k,id0485_GTready_down8k,0.0,0.24057072401046753,0.011678598821163177,0.006662754341959953
rotation,16,same_subject,id0485,crop,id0485_GTready_crop,id0485,noisy,id0485_GTready_noisy,0.0,0.29330557584762573,0.006367584690451622,0.004815586842596531
rotation,17,same_subject,id0485,crop,id0485_GTready_crop,id0485,original,id0485_GTready_original,0.0,0.23880566656589508,0.00643028412014246,0.004283256828784943
rotation,18,same_subject,id0485,crop,id0485_GTready_crop,id0485,remesh,id0485_GTready_remesh,0.0,0.2786388397216797,0.006866306997835636,0.0033659464679658413
rotation,19,same_subject,id0485,crop,id0485_GTready_crop,id0485,up60k,id0485_GTready_up60k,0.0,0.2827998697757721,0.00949146505445242,0.004693391267210245
rotation,20,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,noisy,id0485_GTready_noisy,0.0,0.19164006412029266,0.0010996157070621848,0.0016476643504574895
rotation,21,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,original,id0485_GTready_original,0.0,0.12325149774551392,0.001288422616198659,0.0015522002940997481
rotation,22,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,remesh,id0485_GTready_remesh,0.0,0.14445184171199799,0.0018137661973014474,0.0021929163485765457
rotation,23,same_subject,id0485,down8k,id0485_GTready_down8k,id0485,up60k,id0485_GTready_up60k,0.0,0.13239794969558716,0.0006152278510853648,0.0010300506837666035
rotation,24,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,original,id0485_GTready_original,0.0,0.12193132936954498,0.00022055560839362442,0.0005137190455570817
rotation,25,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,remesh,id0485_GTready_remesh,0.0,0.23089836537837982,0.0010066888062283397,0.0019785091280937195
rotation,26,same_subject,id0485,noisy,id0485_GTready_noisy,id0485,up60k,id0485_GTready_up60k,0.0,0.17526471614837646,0.0005283172940835357,0.0011440642410889268
rotation,27,same_subject,id0485,original,id0485_GTready_original,id0485,remesh,id0485_GTready_remesh,0.0,0.17288900911808014,0.0009147367672994733,0.0008523260476067662
rotation,28,same_subject,id0485,original,id0485_GTready_original,id0485,up60k,id0485_GTready_up60k,0.0,0.16377981007099152,0.0006867750198580325,0.00043518090387806296
rotation,29,same_subject,id0485,remesh,id0485_GTready_remesh,id0485,up60k,id0485_GTready_up60k,0.0,0.15880528092384338,0.0007948593120090663,0.0005370522849261761
rotation,30,same_subject,id0489,crop,id0489_GTready_crop,id0489,down8k,id0489_GTready_down8k,0.0,0.26099681854248047,0.01494651846587658,0.011443814262747765
