scenario,metric,same_mean,same_median,different_mean,different_median,gap_diff_minus_same,same_vs_diff_auc,different_only_spearman_vs_gt,different_only_pearson_vs_gt
clean,latent_distance,0.16857710629701614,0.1469917595386505,0.426232483320766,0.4141089916229248,0.25765537702374985,0.9977777777777778,0.8789617984506727,0.8701886242684058
clean,raw_chamfer,0.003569152904674411,0.000963284051977098,0.005236191834167888,0.003265659906901419,0.001667038929493477,0.6891358024691357,0.2530027107578515,0.1486417736946544
clean,template_icp_chamfer,0.004159482900286093,0.0011257997248321772,0.0052958383975136615,0.0022619322407990694,0.0011363554972275685,0.6928395061728395,0.13200141430844428,0.19038242745517042
translation,latent_distance,0.19071469224161572,0.1814916878938675,0.44284010661972895,0.43697282671928406,0.2521254143781132,0.9891358024691358,0.8464852600097061,0.8367353832684462
translation,raw_chamfer,0.003564895340241492,0.0011049475288018584,0.0053838155833849065,0.0035067510325461626,0.0018189202431434146,0.6918518518518518,0.20900223932170345,0.12566716802022918
translation,template_icp_chamfer,0.0028051335118814474,0.0012732930481433868,0.004008182015968487,0.002671861555427313,0.0012030485040870394,0.6953086419753086,0.07228648878795757,0.12923446447555678
rotation,latent_distance,0.19903243399328654,0.18507002294063568,0.44182788994577193,0.43167489767074585,0.2427954559524854,0.9920987654320987,0.8370565875591028,0.8292947111622395
rotation,raw_chamfer,0.003685597969322569,0.0010996157070621848,0.005358288832940161,0.0035581939155235887,0.0016726908636175925,0.685679012345679,0.24828837453254993,0.15642314505172805
rotation,template_icp_chamfer,0.0027643276792433526,0.001190586481243372,0.00391066124688627,0.0023339358158409595,0.0011463335676429177,0.6876543209876543,0.12885852349157656,0.13580389988483088
mixed,latent_distance,0.25630461507373387,0.2570336163043976,0.43064485159185195,0.4365716278553009,0.17434023651811809,0.9782716049382716,0.806675309662715,0.7929615509789731
mixed,raw_chamfer,0.0014624775245061351,0.0011809405405074358,0.0016953194067658235,0.00136047339765355,0.0002328418822596884,0.5809876543209876,0.14509679271205977,0.110865813955806
mixed,template_icp_chamfer,0.0016373156401742663,0.0014681648463010788,0.0018800180334235645,0.0015046423650346696,0.00024270239324929816,0.5585185185185185,0.04085758061928037,0.07758615496177172
