scenario,sigma,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,clean_latent_spearman,clean_chamfer_spearman,latent_drop_vs_clean,chamfer_drop_vs_clean,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs,output_dir,output_json,output_csv,output_md
jitter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590712,0.514582,0.076130,0.616718,0.549931,0.066787,1,0.590712,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.md
jitter,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.574402,0.581747,-0.007344,0.604538,0.606787,-0.002249,0,0.590712,0.514582,0.016310,-0.067164,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.md
jitter,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.538686,0.623659,-0.084973,0.576177,0.650002,-0.073825,0,0.590712,0.514582,0.052026,-0.109076,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.md
jitter,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.481986,0.592527,-0.110541,0.524546,0.633615,-0.109069,0,0.590712,0.514582,0.108726,-0.077944,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.md
jitter,0.150000,0.150000,0.000000,0.000000,0.000000,0.000000,0.410977,0.551694,-0.140717,0.449733,0.604423,-0.154689,0,0.590712,0.514582,0.179735,-0.037112,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.md
jitter,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.329115,0.498846,-0.169731,0.372453,0.554975,-0.182522,0,0.590712,0.514582,0.261597,0.015736,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.md
translation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.590712,0.514582,0.076130,0.616718,0.549931,0.066787,1,0.590712,0.514582,0.000000,0.000000,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p00/ranking_summary.md
translation,0.020000,0.000000,0.000000,0.020000,0.000000,0.003000,0.582385,0.528044,0.054341,0.611335,0.567721,0.043613,1,0.590712,0.514582,0.008327,-0.013462,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p02/ranking_summary.md
translation,0.050000,0.000000,0.000000,0.050000,0.000000,0.004500,0.573694,0.532889,0.040806,0.604093,0.568599,0.035494,1,0.590712,0.514582,0.017018,-0.018306,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p05/ranking_summary.md
translation,0.100000,0.000000,0.000000,0.100000,0.000000,0.007000,0.552481,0.535723,0.016758,0.584165,0.570346,0.013819,1,0.590712,0.514582,0.038232,-0.021141,35,70,595,1190,595,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/FINE_tuning/evals_mixedaug/shot75_heldout_xtopo10k_pnoise0.6_sig5e-2_mixed5_id0.5_best_by_clean_postperturb_icp/translation_sigma0p10/ranking_summary.md
