scenario,sigma,jitter_sigma,rotation_sigma,translation_sigma,rotation_angle_max_deg,translation_axis_std,latent_spearman,chamfer_spearman,delta_spearman,latent_pearson,chamfer_pearson,delta_pearson,model_beats_chamfer,clean_latent_spearman,clean_chamfer_spearman,latent_drop_vs_clean,chamfer_drop_vs_clean,n_subjects,n_samples,n_pairs,n_mesh_pairs,n_subject_pairs,output_dir,output_json,output_csv,output_md
jitter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114807,0.598032,-0.483225,0.124456,0.591699,-0.467243,0,0.114807,0.598032,0.000000,0.000000,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p00/ranking_summary.md
jitter,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.111365,0.631064,-0.519699,0.123726,0.636262,-0.512537,0,0.114807,0.598032,0.003443,-0.033031,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p02/ranking_summary.md
jitter,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.087487,0.609911,-0.522424,0.101043,0.647043,-0.546000,0,0.114807,0.598032,0.027321,-0.011878,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p05/ranking_summary.md
jitter,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.098346,0.537842,-0.439496,0.105354,0.596838,-0.491484,0,0.114807,0.598032,0.016461,0.060190,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p10/ranking_summary.md
jitter,0.150000,0.150000,0.000000,0.000000,0.000000,0.000000,0.107897,0.462768,-0.354872,0.108702,0.523844,-0.415142,0,0.114807,0.598032,0.006911,0.135264,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p15,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p15/ranking_summary.md
jitter,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.108425,0.384796,-0.276371,0.110710,0.443301,-0.332591,0,0.114807,0.598032,0.006383,0.213237,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p20,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/jitter_sigma0p20/ranking_summary.md
translation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114807,0.598032,-0.483225,0.124456,0.591699,-0.467243,0,0.114807,0.598032,0.000000,0.000000,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p00,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p00/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p00/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p00/ranking_summary.md
translation,0.020000,0.000000,0.000000,0.020000,0.000000,0.003000,0.114194,0.598555,-0.484361,0.121348,0.594357,-0.473009,0,0.114807,0.598032,0.000613,-0.000523,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p02,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p02/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p02/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p02/ranking_summary.md
translation,0.050000,0.000000,0.000000,0.050000,0.000000,0.004500,0.113514,0.598813,-0.485299,0.119388,0.592716,-0.473329,0,0.114807,0.598032,0.001293,-0.000781,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p05,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p05/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p05/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p05/ranking_summary.md
translation,0.100000,0.000000,0.000000,0.100000,0.000000,0.007000,0.111341,0.598382,-0.487041,0.115594,0.592455,-0.476860,0,0.114807,0.598032,0.003467,-0.000349,110,220,5995,11990,5995,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p10,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p10/ranking_summary.json,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p10/ranking_summary.csv,/deck/datasets/WBES-FaceEmbedding/datasets/FaceVerse/faceverse_xtopo10k_sigma_sweep_vs_gt_mixed_xtopo_9a81466d_best_by_xtopo_mesh_clean_postperturb_icp/translation_sigma0p10/ranking_summary.md
