group,metric,n,spearman_vs_latent,pearson_vs_latent,kendall_vs_latent_sampled,spearman_vs_gt,pearson_vs_gt,same_mean,diff_mean,gap_diff_minus_same,same_vs_diff_auc,top10_overlap_vs_latent,top50_overlap_vs_latent,top100_overlap_vs_latent,scenario
overall,latent_distance,200,1.0,1.0,1.0,0.5205144339254604,0.8838613317893549,0.1659919040898482,0.5630827262997627,0.39709082220991454,1.0,1.0,1.0,1.0,
overall,raw_chamfer,200,0.47991149778744474,0.885792023190459,0.3277386934673367,0.5204092570822517,0.9577964382201869,0.000572371669259489,0.0031148375315383095,0.0025424658622788207,1.0,0.0,0.32,0.65,
overall,rigid_chamfer,200,0.661419035475887,0.8318639635915205,0.46623115577889446,0.518735072262956,0.8767008269991854,0.0008619385559887728,0.002556942029630568,0.001695003473641795,1.0,0.0,0.56,0.73,
overall,fg_p2p,200,0.36990474761869047,0.7549250378601506,0.2519597989949749,0.5185981982889172,0.8526771593833513,0.0007238267501448807,0.0023410426805302873,0.0016172159303854067,1.0,0.0,0.44,0.57,
overall,fg_p2tri,200,0.25345683642091055,0.7256012055532439,0.16170854271356783,0.5182970755460319,0.8496209665923079,0.0005871743196836585,0.002234368317146765,0.0016471939974631064,1.0,0.0,0.36,0.49,
clean,latent_distance,200,1.0,1.0,1.0,0.5205144339254604,0.8838613317893549,0.1659919040898482,0.5630827262997627,0.39709082220991454,1.0,1.0,1.0,1.0,clean
clean,raw_chamfer,200,0.47991149778744474,0.885792023190459,0.3277386934673367,0.5204092570822517,0.9577964382201869,0.000572371669259489,0.0031148375315383095,0.0025424658622788207,1.0,0.0,0.32,0.65,clean
clean,rigid_chamfer,200,0.661419035475887,0.8318639635915205,0.46623115577889446,0.518735072262956,0.8767008269991854,0.0008619385559887728,0.002556942029630568,0.001695003473641795,1.0,0.0,0.56,0.73,clean
clean,fg_p2p,200,0.36990474761869047,0.7549250378601506,0.2519597989949749,0.5185981982889172,0.8526771593833513,0.0007238267501448807,0.0023410426805302873,0.0016172159303854067,1.0,0.0,0.44,0.57,clean
clean,fg_p2tri,200,0.25345683642091055,0.7256012055532439,0.16170854271356783,0.5182970755460319,0.8496209665923079,0.0005871743196836585,0.002234368317146765,0.0016471939974631064,1.0,0.0,0.36,0.49,clean
