epoch,loss,stress,rank,id,smooth,teacher,lr,spearman_clean,pearson_clean,auc_r,gate_mean_clean,gate_mean_noisy_max,spearman_noisy_max,ratio_noisy_max,intra_clean,n_eval
1,0.013114,0.013111,0.000000,0.000012,0.000000,0.000000,1.00e-04,nan,nan,nan,nan,nan,nan,nan,nan,0
2,0.010039,0.010036,0.000000,0.000013,0.000000,0.000000,1.00e-04,0.677998,0.688067,0.990676,nan,nan,0.615723,0.908149,1.409808e-06,16
3,0.009449,0.009446,0.000000,0.000012,0.000000,0.000000,1.00e-04,0.677998,0.688067,0.990676,nan,nan,0.615723,0.908149,1.409808e-06,16
4,0.007777,0.007774,0.000000,0.000012,0.000000,0.000000,1.00e-04,0.698583,0.729245,0.989055,nan,nan,0.661356,0.946711,1.670305e-06,16
5,0.007289,0.007286,0.000000,0.000012,0.000000,0.000000,1.00e-04,0.698583,0.729245,0.989055,nan,nan,0.661356,0.946711,1.670305e-06,16
6,0.008356,0.008353,0.000000,0.000013,0.000000,0.000000,1.00e-04,0.708980,0.731287,1.000839,nan,nan,0.708711,0.999621,2.532557e-06,16
7,0.007089,0.007086,0.000000,0.000014,0.000000,0.000000,1.00e-04,0.708980,0.731287,1.000839,nan,nan,0.708711,0.999621,2.532557e-06,16
8,0.007348,0.007345,0.000000,0.000014,0.000000,0.000000,1.00e-04,0.731766,0.759452,0.988492,nan,nan,0.679330,0.928343,2.627483e-06,16
9,0.006634,0.006630,0.000000,0.000014,0.000000,0.000000,1.00e-04,0.731766,0.759452,0.988492,nan,nan,0.679330,0.928343,2.627483e-06,16
10,0.006642,0.006638,0.000000,0.000015,0.000000,0.000000,1.00e-04,0.710348,0.746024,0.993482,nan,nan,0.683427,0.962102,3.016211e-06,16
11,0.006853,0.006850,0.000000,0.000015,0.000000,0.000000,1.00e-04,0.710348,0.746024,0.993482,nan,nan,0.683427,0.962102,3.016211e-06,16
12,0.006702,0.006698,0.000000,0.000016,0.000000,0.000000,1.00e-04,0.688694,0.724653,0.992970,nan,nan,0.661680,0.960776,4.198894e-06,16
13,0.006288,0.006284,0.000000,0.000016,0.000000,0.000000,1.00e-04,0.688694,0.724653,0.992970,nan,nan,0.661680,0.960776,4.198894e-06,16
14,0.006195,0.006190,0.000000,0.000017,0.000000,0.000000,1.00e-04,0.716189,0.748441,0.993533,nan,nan,0.682154,0.952478,4.627365e-06,16
15,0.005631,0.005626,0.000000,0.000019,0.000000,0.000000,1.00e-04,0.716189,0.748441,0.993533,nan,nan,0.682154,0.952478,4.627365e-06,16
16,0.005691,0.005687,0.000000,0.000018,0.000000,0.000000,1.00e-04,0.721376,0.746667,0.993279,nan,nan,0.682767,0.946478,5.530948e-06,16
17,0.006579,0.006574,0.000000,0.000020,0.000000,0.000000,1.00e-04,0.721376,0.746667,0.993279,nan,nan,0.682767,0.946478,5.530948e-06,16
18,0.005816,0.005811,0.000000,0.000020,0.000000,0.000000,1.00e-04,0.705348,0.725266,0.989382,nan,nan,0.666958,0.945574,6.364610e-06,16
19,0.005454,0.005448,0.000000,0.000022,0.000000,0.000000,1.00e-04,0.705348,0.725266,0.989382,nan,nan,0.666958,0.945574,6.364610e-06,16
20,0.005748,0.005742,0.000000,0.000022,0.000000,0.000000,1.00e-04,0.697000,0.718019,0.990801,nan,nan,0.657293,0.943032,6.843686e-06,16
21,0.005683,0.005678,0.000000,0.000022,0.000000,0.000000,1.00e-04,0.697000,0.718019,0.990801,nan,nan,0.657293,0.943032,6.843686e-06,16
22,0.005017,0.005011,0.000000,0.000024,0.000000,0.000000,1.00e-04,0.681679,0.716801,0.995720,nan,nan,0.662044,0.971195,7.556440e-06,16
23,0.004920,0.004914,0.000000,0.000025,0.000000,0.000000,1.00e-04,0.681679,0.716801,0.995720,nan,nan,0.662044,0.971195,7.556440e-06,16
24,0.005238,0.005232,0.000000,0.000025,0.000000,0.000000,1.00e-04,0.692798,0.710542,0.981284,nan,nan,0.640114,0.923954,7.247931e-06,16
25,0.004877,0.004871,0.000000,0.000025,0.000000,0.000000,1.00e-04,0.692798,0.710542,0.981284,nan,nan,0.640114,0.923954,7.247931e-06,16
26,0.005699,0.005693,0.000000,0.000026,0.000000,0.000000,1.00e-04,0.715452,0.752226,1.002940,nan,nan,0.708943,0.990901,9.567153e-06,16
