epoch,xtopo_mesh_clean,xtopo_mesh_pearson,xtopo_mesh_n_pairs
1,nan,nan,0
2,0.368793,0.412320,3600
3,0.368793,0.412320,3600
4,0.471318,0.515245,3600
5,0.471318,0.515245,3600
6,0.538872,0.585152,3600
7,0.538872,0.585152,3600
8,0.575320,0.617567,3600
9,0.575320,0.617567,3600
10,0.594921,0.634561,3600
11,0.594921,0.634561,3600
12,0.616575,0.654786,3600
13,0.616575,0.654786,3600
14,0.632502,0.669175,3600
15,0.632502,0.669175,3600
16,0.642191,0.679535,3600
17,0.642191,0.679535,3600
18,0.648080,0.682673,3600
19,0.648080,0.682673,3600
20,0.647833,0.681234,3600
21,0.647833,0.681234,3600
22,0.650318,0.684689,3600
23,0.650318,0.684689,3600
24,0.639851,0.674207,3600
25,0.639851,0.674207,3600
26,0.635011,0.666643,3600
27,0.635011,0.666643,3600
28,0.650438,0.682852,3600
29,0.650438,0.682852,3600
30,0.653848,0.687155,3600
31,0.653848,0.687155,3600
32,0.652033,0.685972,3600
33,0.652033,0.685972,3600
34,0.658557,0.691120,3600
35,0.658557,0.691120,3600
36,0.665241,0.698144,3600
37,0.665241,0.698144,3600
38,0.675635,0.706152,3600
39,0.675635,0.706152,3600
40,0.664254,0.698796,3600
41,0.664254,0.698796,3600
42,0.674683,0.706249,3600
43,0.674683,0.706249,3600
44,0.666258,0.700402,3600
45,0.666258,0.700402,3600
46,0.658840,0.692514,3600
47,0.658840,0.692514,3600
48,0.667076,0.700404,3600
49,0.667076,0.700404,3600
50,0.674846,0.708011,3600
51,0.674846,0.708011,3600
52,0.678980,0.712840,3600
53,0.678980,0.712840,3600
54,0.685009,0.717845,3600
55,0.685009,0.717845,3600
56,0.679599,0.713602,3600
57,0.679599,0.713602,3600
58,0.686270,0.719397,3600
59,0.686270,0.719397,3600
60,0.675901,0.709981,3600
61,0.675901,0.709981,3600
62,0.669047,0.704812,3600
63,0.669047,0.704812,3600
64,0.675229,0.710516,3600
65,0.675229,0.710516,3600
66,0.675529,0.711296,3600
67,0.675529,0.711296,3600
68,0.682505,0.716727,3600
69,0.682505,0.716727,3600
70,0.684701,0.717837,3600
71,0.684701,0.717837,3600
72,0.688150,0.720703,3600
73,0.688150,0.720703,3600
74,0.690327,0.724193,3600
75,0.690327,0.724193,3600
76,0.687132,0.721935,3600
77,0.687132,0.721935,3600
78,0.689413,0.723306,3600
79,0.689413,0.723306,3600
80,0.689194,0.724656,3600
81,0.689194,0.724656,3600
82,0.682515,0.718653,3600
83,0.682515,0.718653,3600
84,0.684952,0.720829,3600
85,0.684952,0.720829,3600
86,0.693069,0.727686,3600
87,0.693069,0.727686,3600
88,0.693536,0.726742,3600
89,0.693536,0.726742,3600
90,0.690642,0.723607,3600
91,0.690642,0.723607,3600
92,0.698562,0.732621,3600
93,0.698562,0.732621,3600
94,0.692304,0.727470,3600
95,0.692304,0.727470,3600
96,0.690753,0.725103,3600
97,0.690753,0.725103,3600
98,0.694561,0.728228,3600
99,0.694561,0.728228,3600
100,0.693488,0.728234,3600
