subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,crop,remesh,0.322800,0.395731,0.005865,1,
id0001,id0018,crop,remesh,0.366204,0.415382,0.006024,1,
id0001,id0020,crop,remesh,0.345168,0.400133,0.005464,1,
id0001,id0026,crop,remesh,0.465494,0.670724,0.012348,1,
id0001,id0027,crop,remesh,0.364464,0.465353,0.007682,1,
id0001,id0041,crop,remesh,0.287332,0.459916,0.011957,1,
id0001,id0042,crop,remesh,0.491159,0.714906,0.018875,1,
id0001,id0045,crop,remesh,0.360608,0.467921,0.008497,1,
id0001,id0048,crop,remesh,0.335410,0.387193,0.004504,1,
id0001,id0056,crop,remesh,0.350707,0.584557,0.014848,1,
id0001,id0062,crop,remesh,0.483203,0.704149,0.015532,1,
id0001,id0069,crop,remesh,0.345951,0.588466,0.009071,1,
id0001,id0071,crop,remesh,0.455894,0.641116,0.018107,1,
id0001,id0072,crop,remesh,0.337381,0.488360,0.009223,1,
id0001,id0075,crop,remesh,0.409765,0.584404,0.012185,1,
id0001,id0080,crop,remesh,0.454938,0.707198,0.014359,1,
id0001,id0081,crop,remesh,0.402132,0.644407,0.007839,1,
id0001,id0086,crop,remesh,0.362781,0.522617,0.007984,1,
id0001,id0088,crop,remesh,0.287890,0.486336,0.007888,1,
id0001,id0097,crop,remesh,0.271231,0.405056,0.009105,1,
id0001,id0100,crop,remesh,0.340169,0.506832,0.009546,1,
id0001,id0106,crop,remesh,0.399704,0.683544,0.012769,1,
id0001,id0107,crop,remesh,0.313481,0.325052,0.004854,1,
id0001,id0110,crop,remesh,0.337847,0.442350,0.008990,1,
id0001,id0113,crop,remesh,0.369655,0.606187,0.011364,1,
id0001,id0115,crop,remesh,0.352460,0.547135,0.011019,1,
id0001,id0130,crop,remesh,0.292304,0.463256,0.009855,1,
id0001,id0132,crop,remesh,0.290086,0.450309,0.008911,1,
id0001,id0136,crop,remesh,0.364559,0.593053,0.009858,1,
id0001,id0153,crop,remesh,0.290769,0.408727,0.005341,1,
id0001,id0161,crop,remesh,0.321011,0.486353,0.009103,1,
id0001,id0169,crop,remesh,0.339859,0.519300,0.010976,1,
id0001,id0182,crop,remesh,0.353581,0.486390,0.006900,1,
id0001,id0183,crop,remesh,0.377801,0.493530,0.005833,1,
id0001,id0186,crop,remesh,0.276798,0.492813,0.010088,1,
id0001,id0197,crop,remesh,0.349722,0.446847,0.007593,1,
id0001,id0199,crop,remesh,0.333997,0.431131,0.004973,1,
id0001,id0206,crop,remesh,0.582220,0.799584,0.016712,1,
id0001,id0207,crop,remesh,0.366138,0.541337,0.010017,1,
id0001,id0208,crop,remesh,0.272983,0.366409,0.005313,1,
id0001,id0212,crop,remesh,0.421550,0.433923,0.011606,1,
id0001,id0220,crop,remesh,0.352810,0.442559,0.009186,1,
id0001,id0222,crop,remesh,0.346686,0.392856,0.006231,1,
id0001,id0224,crop,remesh,0.400929,0.587001,0.010418,1,
id0001,id0233,crop,remesh,0.285536,0.372709,0.006900,1,
id0001,id0239,crop,remesh,0.522106,0.736135,0.017764,1,
id0001,id0242,crop,remesh,0.298460,0.479260,0.008660,1,
id0001,id0246,crop,remesh,0.385500,0.562865,0.013472,1,
id0001,id0258,crop,remesh,0.322260,0.477869,0.009052,1,
id0001,id0273,crop,remesh,0.281542,0.462817,0.008912,1,
id0001,id0275,crop,remesh,0.283546,0.358438,0.007442,1,
id0001,id0285,crop,remesh,0.310977,0.579001,0.008458,1,
id0001,id0290,crop,remesh,0.412985,0.421155,0.004693,1,
id0001,id0296,crop,remesh,0.295725,0.384307,0.006358,1,
id0001,id0299,crop,remesh,0.273174,0.426431,0.006383,1,
id0001,id0303,crop,remesh,0.274224,0.432208,0.005744,1,
id0001,id0319,crop,remesh,0.418635,0.518491,0.009613,1,
id0001,id0321,crop,remesh,0.346538,0.358781,0.004783,1,
id0001,id0326,crop,remesh,0.362382,0.502292,0.006173,1,
id0001,id0328,crop,remesh,0.260064,0.401142,0.006163,1,
id0001,id0330,crop,remesh,0.382978,0.558530,0.011356,1,
id0001,id0342,crop,remesh,0.302526,0.532568,0.011392,1,
id0001,id0346,crop,remesh,0.364628,0.582269,0.011505,1,
id0001,id0363,crop,remesh,0.316617,0.618532,0.011653,1,
id0001,id0367,crop,remesh,0.400716,0.519216,0.012324,1,
id0001,id0368,crop,remesh,0.278228,0.378561,0.006956,1,
id0001,id0369,crop,remesh,0.323987,0.405334,0.005405,1,
id0001,id0372,crop,remesh,0.441989,0.408877,0.007549,1,
id0001,id0373,crop,remesh,0.348212,0.429572,0.005901,1,
id0001,id0374,crop,remesh,0.441220,0.467876,0.007614,1,
id0001,id0378,crop,remesh,0.309927,0.371988,0.006649,1,
id0001,id0381,crop,remesh,0.386134,0.430283,0.007880,1,
id0001,id0382,crop,remesh,0.362844,0.559062,0.014321,1,
id0001,id0392,crop,remesh,0.343611,0.516396,0.012645,1,
id0001,id0396,crop,remesh,0.337015,0.583149,0.013343,1,
id0001,id0398,crop,remesh,0.483421,0.672947,0.011565,1,
id0001,id0399,crop,remesh,0.220824,0.314648,0.007469,1,
id0001,id0401,crop,remesh,0.325417,0.490758,0.012956,1,
id0001,id0402,crop,remesh,0.362388,0.500623,0.010168,1,
id0001,id0404,crop,remesh,0.394736,0.569342,0.010137,1,
id0001,id0411,crop,remesh,0.380956,0.648013,0.018673,1,
id0001,id0412,crop,remesh,0.338277,0.428685,0.009748,1,
id0001,id0418,crop,remesh,0.458799,0.550409,0.009129,1,
id0001,id0421,crop,remesh,0.292851,0.451365,0.010057,1,
id0001,id0422,crop,remesh,0.320140,0.531335,0.009567,1,
id0001,id0431,crop,remesh,0.344573,0.537254,0.009821,1,
id0001,id0437,crop,remesh,0.401537,0.468192,0.006844,1,
id0001,id0441,crop,remesh,0.291814,0.472010,0.009924,1,
id0001,id0447,crop,remesh,0.306172,0.332937,0.003594,1,
id0001,id0460,crop,remesh,0.293119,0.519802,0.008580,1,
id0001,id0462,crop,remesh,0.310316,0.511960,0.007488,1,
id0001,id0465,crop,remesh,0.345278,0.460504,0.010105,1,
id0001,id0466,crop,remesh,0.330986,0.409412,0.004421,1,
id0001,id0468,crop,remesh,0.465759,0.734744,0.020961,1,
id0001,id0470,crop,remesh,0.426994,0.583942,0.011104,1,
id0001,id0476,crop,remesh,0.308868,0.369232,0.004736,1,
id0001,id0486,crop,remesh,0.323589,0.523144,0.010618,1,
id0001,id0491,crop,remesh,0.320884,0.441854,0.006532,1,
id0001,id0498,crop,remesh,0.339398,0.484401,0.009285,1,
id0004,id0018,crop,remesh,0.299500,0.418286,0.008765,1,
id0004,id0020,crop,remesh,0.366351,0.479741,0.009677,1,
id0004,id0026,crop,remesh,0.416234,0.704552,0.018097,1,
id0004,id0027,crop,remesh,0.248048,0.446084,0.012740,1,
id0004,id0041,crop,remesh,0.345277,0.552307,0.019634,1,
id0004,id0042,crop,remesh,0.487255,0.772881,0.026931,1,
id0004,id0045,crop,remesh,0.324312,0.545978,0.014007,1,
id0004,id0048,crop,remesh,0.238472,0.347947,0.006970,1,
id0004,id0056,crop,remesh,0.478388,0.669179,0.022117,1,
id0004,id0062,crop,remesh,0.511633,0.796256,0.022749,1,
id0004,id0069,crop,remesh,0.343675,0.602331,0.014550,1,
id0004,id0071,crop,remesh,0.480545,0.749110,0.026759,1,
id0004,id0072,crop,remesh,0.344321,0.528195,0.015356,1,
id0004,id0075,crop,remesh,0.372617,0.624595,0.018232,1,
id0004,id0080,crop,remesh,0.425929,0.758217,0.020361,1,
id0004,id0081,crop,remesh,0.350165,0.674353,0.010680,1,
id0004,id0086,crop,remesh,0.333849,0.558001,0.013603,1,
id0004,id0088,crop,remesh,0.324047,0.506607,0.012281,1,
id0004,id0097,crop,remesh,0.372316,0.525963,0.015305,1,
id0004,id0100,crop,remesh,0.327457,0.596365,0.015598,1,
id0004,id0106,crop,remesh,0.425352,0.686517,0.018276,1,
id0004,id0107,crop,remesh,0.404081,0.424400,0.009056,1,
id0004,id0110,crop,remesh,0.288532,0.486863,0.014686,1,
id0004,id0113,crop,remesh,0.402826,0.674880,0.017998,1,
id0004,id0115,crop,remesh,0.299737,0.588906,0.016732,1,
id0004,id0130,crop,remesh,0.373116,0.536820,0.015082,1,
id0004,id0132,crop,remesh,0.372023,0.565914,0.014846,1,
id0004,id0136,crop,remesh,0.391691,0.641898,0.015106,1,
id0004,id0153,crop,remesh,0.307025,0.379255,0.008266,1,
id0004,id0161,crop,remesh,0.277533,0.488481,0.014248,1,
id0004,id0169,crop,remesh,0.369937,0.589409,0.018056,1,
id0004,id0182,crop,remesh,0.281358,0.455121,0.010435,1,
id0004,id0183,crop,remesh,0.405535,0.468454,0.009122,1,
id0004,id0186,crop,remesh,0.294698,0.512648,0.016837,1,
id0004,id0197,crop,remesh,0.295977,0.471956,0.012329,1,
id0004,id0199,crop,remesh,0.301516,0.416253,0.009066,1,
id0004,id0206,crop,remesh,0.534421,0.878772,0.023335,1,
id0004,id0207,crop,remesh,0.328717,0.568380,0.015751,1,
id0004,id0208,crop,remesh,0.252515,0.389969,0.008546,1,
id0004,id0212,crop,remesh,0.449904,0.543763,0.018995,1,
id0004,id0220,crop,remesh,0.382646,0.492647,0.014947,1,
id0004,id0222,crop,remesh,0.308054,0.468475,0.010807,1,
id0004,id0224,crop,remesh,0.323367,0.570195,0.015282,1,
id0004,id0233,crop,remesh,0.398470,0.387241,0.011457,1,
id0004,id0239,crop,remesh,0.464611,0.760763,0.025650,1,
id0004,id0242,crop,remesh,0.282912,0.450222,0.013543,1,
id0004,id0246,crop,remesh,0.388364,0.676409,0.020881,1,
id0004,id0258,crop,remesh,0.347289,0.512700,0.014511,1,
id0004,id0273,crop,remesh,0.353197,0.499105,0.014665,1,
id0004,id0275,crop,remesh,0.342961,0.447014,0.012210,1,
id0004,id0285,crop,remesh,0.300694,0.578103,0.013172,1,
id0004,id0290,crop,remesh,0.376412,0.405767,0.007907,1,
id0004,id0296,crop,remesh,0.377190,0.465164,0.011364,1,
id0004,id0299,crop,remesh,0.274334,0.490584,0.011055,1,
id0004,id0303,crop,remesh,0.376417,0.541816,0.010955,1,
id0004,id0319,crop,remesh,0.399626,0.601439,0.015670,1,
id0004,id0321,crop,remesh,0.359361,0.475811,0.009114,1,
id0004,id0326,crop,remesh,0.333240,0.549027,0.010964,1,
id0004,id0328,crop,remesh,0.303851,0.412096,0.010948,1,
id0004,id0330,crop,remesh,0.378090,0.588197,0.017665,1,
id0004,id0342,crop,remesh,0.350086,0.590509,0.017969,1,
id0004,id0346,crop,remesh,0.331411,0.629404,0.017029,1,
id0004,id0363,crop,remesh,0.357624,0.661878,0.017783,1,
id0004,id0367,crop,remesh,0.332776,0.581006,0.019717,1,
id0004,id0368,crop,remesh,0.268145,0.397435,0.011204,1,
id0004,id0369,crop,remesh,0.306576,0.413985,0.009539,1,
id0004,id0372,crop,remesh,0.348164,0.462885,0.013324,1,
id0004,id0373,crop,remesh,0.253746,0.360974,0.009377,1,
id0004,id0374,crop,remesh,0.488771,0.490769,0.011678,1,
id0004,id0378,crop,remesh,0.257372,0.416189,0.011640,1,
id0004,id0381,crop,remesh,0.262163,0.427231,0.012523,1,
id0004,id0382,crop,remesh,0.443676,0.669430,0.021979,1,
id0004,id0392,crop,remesh,0.334855,0.554365,0.019077,1,
id0004,id0396,crop,remesh,0.329644,0.561509,0.019584,1,
id0004,id0398,crop,remesh,0.455912,0.747858,0.017936,1,
id0004,id0399,crop,remesh,0.341713,0.389595,0.012879,1,
id0004,id0401,crop,remesh,0.404764,0.579321,0.020927,1,
id0004,id0402,crop,remesh,0.287139,0.552323,0.015857,1,
id0004,id0404,crop,remesh,0.385459,0.631085,0.015754,1,
id0004,id0411,crop,remesh,0.444882,0.756558,0.027041,1,
id0004,id0412,crop,remesh,0.346228,0.504308,0.016894,1,
id0004,id0418,crop,remesh,0.352156,0.634864,0.015513,1,
id0004,id0421,crop,remesh,0.283581,0.497696,0.015528,1,
id0004,id0422,crop,remesh,0.295274,0.523795,0.014537,1,
id0004,id0431,crop,remesh,0.344802,0.633684,0.016841,1,
id0004,id0437,crop,remesh,0.335827,0.489481,0.012047,1,
id0004,id0441,crop,remesh,0.345794,0.552576,0.015970,1,
id0004,id0447,crop,remesh,0.379462,0.395349,0.007084,1,
id0004,id0460,crop,remesh,0.277219,0.529221,0.013233,1,
id0004,id0462,crop,remesh,0.359342,0.529083,0.012155,1,
id0004,id0465,crop,remesh,0.413186,0.581403,0.016551,1,
id0004,id0466,crop,remesh,0.322157,0.409694,0.006903,1,
id0004,id0468,crop,remesh,0.497404,0.824179,0.029974,1,
id0004,id0470,crop,remesh,0.394680,0.664032,0.017362,1,
id0004,id0476,crop,remesh,0.263739,0.286188,0.007488,1,
id0004,id0486,crop,remesh,0.421167,0.561137,0.016039,1,
id0004,id0491,crop,remesh,0.283154,0.406066,0.010494,1,
id0004,id0498,crop,remesh,0.366030,0.525489,0.014145,1,
id0018,id0020,crop,remesh,0.275566,0.400157,0.004821,1,
id0018,id0026,crop,remesh,0.382527,0.745356,0.011174,1,
id0018,id0027,crop,remesh,0.290609,0.500107,0.007466,1,
id0018,id0041,crop,remesh,0.337230,0.565857,0.012551,1,
id0018,id0042,crop,remesh,0.511120,0.849391,0.018619,1,
id0018,id0045,crop,remesh,0.286276,0.569153,0.008481,1,
id0018,id0048,crop,remesh,0.272980,0.421698,0.003529,1,
id0018,id0056,crop,remesh,0.419521,0.671214,0.014697,1,
id0018,id0062,crop,remesh,0.534391,0.840572,0.015590,1,
id0018,id0069,crop,remesh,0.467310,0.687296,0.009062,1,
id0018,id0071,crop,remesh,0.456118,0.772509,0.018121,1,
id0018,id0072,crop,remesh,0.388603,0.572629,0.009457,1,
id0018,id0075,crop,remesh,0.308999,0.652600,0.011384,1,
id0018,id0080,crop,remesh,0.464278,0.830556,0.013502,1,
id0018,id0081,crop,remesh,0.325128,0.687225,0.006123,1,
id0018,id0086,crop,remesh,0.393905,0.607937,0.008104,1,
id0018,id0088,crop,remesh,0.358025,0.546659,0.007980,1,
id0018,id0097,crop,remesh,0.290321,0.501732,0.008440,1,
id0018,id0100,crop,remesh,0.357246,0.645033,0.009718,1,
id0018,id0106,crop,remesh,0.519131,0.785136,0.012543,1,
id0018,id0107,crop,remesh,0.340912,0.314822,0.004208,1,
id0018,id0110,crop,remesh,0.235144,0.502327,0.008236,1,
id0018,id0113,crop,remesh,0.432251,0.707418,0.011234,1,
id0018,id0115,crop,remesh,0.354310,0.644603,0.009977,1,
id0018,id0130,crop,remesh,0.349795,0.569140,0.009098,1,
id0018,id0132,crop,remesh,0.326289,0.560028,0.008520,1,
id0018,id0136,crop,remesh,0.458846,0.697394,0.009797,1,
id0018,id0153,crop,remesh,0.233688,0.337226,0.003917,1,
id0018,id0161,crop,remesh,0.287563,0.546335,0.008188,1,
id0018,id0169,crop,remesh,0.424750,0.656429,0.011606,1,
id0018,id0182,crop,remesh,0.193836,0.501226,0.005762,1,
id0018,id0183,crop,remesh,0.462025,0.486793,0.005064,1,
id0018,id0186,crop,remesh,0.344592,0.604819,0.011128,1,
id0018,id0197,crop,remesh,0.306567,0.473739,0.006857,1,
id0018,id0199,crop,remesh,0.386478,0.504216,0.005473,1,
id0018,id0206,crop,remesh,0.546436,0.923265,0.016467,1,
id0018,id0207,crop,remesh,0.330534,0.618272,0.010123,1,
id0018,id0208,crop,remesh,0.219759,0.411651,0.004930,1,
id0018,id0212,crop,remesh,0.439102,0.576279,0.011426,1,
id0018,id0220,crop,remesh,0.326173,0.494152,0.008871,1,
id0018,id0222,crop,remesh,0.298091,0.458883,0.006077,1,
id0018,id0224,crop,remesh,0.328001,0.638981,0.010548,1,
id0018,id0233,crop,remesh,0.351839,0.409020,0.006283,1,
id0018,id0239,crop,remesh,0.502849,0.840795,0.017512,1,
id0018,id0242,crop,remesh,0.341463,0.539793,0.008387,1,
id0018,id0246,crop,remesh,0.359223,0.679529,0.012933,1,
id0018,id0258,crop,remesh,0.278820,0.509169,0.008529,1,
id0018,id0273,crop,remesh,0.294283,0.516861,0.009213,1,
id0018,id0275,crop,remesh,0.312723,0.451487,0.006963,1,
id0018,id0285,crop,remesh,0.411593,0.665723,0.007558,1,
id0018,id0290,crop,remesh,0.263703,0.378905,0.003903,1,
id0018,id0296,crop,remesh,0.348008,0.427149,0.006334,1,
