subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,down8k,crop,0.322800,0.428122,0.021047,1,
id0001,id0018,down8k,crop,0.366204,0.475184,0.014175,1,
id0001,id0020,down8k,crop,0.345168,0.466320,0.013440,1,
id0001,id0026,down8k,crop,0.465494,0.419508,0.008526,1,
id0001,id0027,down8k,crop,0.364464,0.410190,0.013466,1,
id0001,id0041,down8k,crop,0.287332,0.405331,0.012261,1,
id0001,id0042,down8k,crop,0.491159,0.531336,0.007512,1,
id0001,id0045,down8k,crop,0.360608,0.321829,0.010836,1,
id0001,id0048,down8k,crop,0.335410,0.342978,0.015019,1,
id0001,id0056,down8k,crop,0.350707,0.480803,0.011194,1,
id0001,id0062,down8k,crop,0.483203,0.481050,0.008401,1,
id0001,id0069,down8k,crop,0.345951,0.522171,0.011266,1,
id0001,id0071,down8k,crop,0.455894,0.536076,0.005950,1,
id0001,id0072,down8k,crop,0.337381,0.392096,0.015553,1,
id0001,id0075,down8k,crop,0.409765,0.409556,0.006891,1,
id0001,id0080,down8k,crop,0.454938,0.445844,0.007170,1,
id0001,id0081,down8k,crop,0.402132,0.450668,0.019733,1,
id0001,id0086,down8k,crop,0.362781,0.441778,0.015035,1,
id0001,id0088,down8k,crop,0.287890,0.417262,0.021175,1,
id0001,id0097,down8k,crop,0.271231,0.341864,0.009804,1,
id0001,id0100,down8k,crop,0.340169,0.384558,0.009180,1,
id0001,id0106,down8k,crop,0.399704,0.487351,0.014261,1,
id0001,id0107,down8k,crop,0.313481,0.411188,0.017317,1,
id0001,id0110,down8k,crop,0.337847,0.335397,0.009706,1,
id0001,id0113,down8k,crop,0.369655,0.447036,0.017162,1,
id0001,id0115,down8k,crop,0.352460,0.345491,0.011410,1,
id0001,id0130,down8k,crop,0.292304,0.372885,0.012262,1,
id0001,id0132,down8k,crop,0.290086,0.332832,0.015432,1,
id0001,id0136,down8k,crop,0.364559,0.436819,0.018143,1,
id0001,id0153,down8k,crop,0.290769,0.479827,0.026277,1,
id0001,id0161,down8k,crop,0.321011,0.391781,0.019908,1,
id0001,id0169,down8k,crop,0.339859,0.403510,0.015596,1,
id0001,id0182,down8k,crop,0.353581,0.415567,0.014311,1,
id0001,id0183,down8k,crop,0.377801,0.594692,0.027952,1,
id0001,id0186,down8k,crop,0.276798,0.377682,0.014453,1,
id0001,id0197,down8k,crop,0.349722,0.404235,0.012202,1,
id0001,id0199,down8k,crop,0.333997,0.577544,0.021521,1,
id0001,id0206,down8k,crop,0.582220,0.587774,0.010017,1,
id0001,id0207,down8k,crop,0.366138,0.427655,0.015728,1,
id0001,id0208,down8k,crop,0.272983,0.350645,0.020241,1,
id0001,id0212,down8k,crop,0.421550,0.388944,0.007168,1,
id0001,id0220,down8k,crop,0.352810,0.332444,0.009125,1,
id0001,id0222,down8k,crop,0.346686,0.353099,0.021020,1,
id0001,id0224,down8k,crop,0.400929,0.491835,0.019461,1,
id0001,id0233,down8k,crop,0.285536,0.483425,0.025144,1,
id0001,id0239,down8k,crop,0.522106,0.598717,0.010909,1,
id0001,id0242,down8k,crop,0.298460,0.400624,0.016422,1,
id0001,id0246,down8k,crop,0.385500,0.393135,0.009207,1,
id0001,id0258,down8k,crop,0.322260,0.407571,0.011211,1,
id0001,id0273,down8k,crop,0.281542,0.427840,0.012226,1,
id0001,id0275,down8k,crop,0.283546,0.357556,0.020656,1,
id0001,id0285,down8k,crop,0.310977,0.417533,0.018706,1,
id0001,id0290,down8k,crop,0.412985,0.605282,0.021082,1,
id0001,id0296,down8k,crop,0.295725,0.375242,0.026000,1,
id0001,id0299,down8k,crop,0.273174,0.300655,0.017502,1,
id0001,id0303,down8k,crop,0.274224,0.351824,0.016631,1,
id0001,id0319,down8k,crop,0.418635,0.374254,0.009547,1,
id0001,id0321,down8k,crop,0.346538,0.424273,0.017599,1,
id0001,id0326,down8k,crop,0.362382,0.477969,0.026980,1,
id0001,id0328,down8k,crop,0.260064,0.457891,0.017808,1,
id0001,id0330,down8k,crop,0.382978,0.458517,0.008936,1,
id0001,id0342,down8k,crop,0.302526,0.422317,0.013948,1,
id0001,id0346,down8k,crop,0.364628,0.418904,0.014081,1,
id0001,id0363,down8k,crop,0.316617,0.327402,0.008330,1,
id0001,id0367,down8k,crop,0.400716,0.399484,0.010645,1,
id0001,id0368,down8k,crop,0.278228,0.350012,0.025739,1,
id0001,id0369,down8k,crop,0.323987,0.514243,0.028433,1,
id0001,id0372,down8k,crop,0.441989,0.368497,0.016073,1,
id0001,id0373,down8k,crop,0.348212,0.506137,0.018148,1,
id0001,id0374,down8k,crop,0.441220,0.496169,0.009302,1,
id0001,id0378,down8k,crop,0.309927,0.370204,0.018756,1,
id0001,id0381,down8k,crop,0.386134,0.334593,0.019153,1,
id0001,id0382,down8k,crop,0.362844,0.383574,0.006624,1,
id0001,id0392,down8k,crop,0.343611,0.407143,0.011896,1,
id0001,id0396,down8k,crop,0.337015,0.442852,0.008217,1,
id0001,id0398,down8k,crop,0.483421,0.563611,0.011034,1,
id0001,id0399,down8k,crop,0.220824,0.330435,0.013182,1,
id0001,id0401,down8k,crop,0.325417,0.480601,0.009049,1,
id0001,id0402,down8k,crop,0.362388,0.311160,0.012900,1,
id0001,id0404,down8k,crop,0.394736,0.440712,0.016201,1,
id0001,id0411,down8k,crop,0.380956,0.443356,0.005975,1,
id0001,id0412,down8k,crop,0.338277,0.349122,0.015893,1,
id0001,id0418,down8k,crop,0.458799,0.462203,0.023136,1,
id0001,id0421,down8k,crop,0.292851,0.301756,0.012032,1,
id0001,id0422,down8k,crop,0.320140,0.428867,0.016645,1,
id0001,id0431,down8k,crop,0.344573,0.447902,0.016946,1,
id0001,id0437,down8k,crop,0.401537,0.590259,0.023529,1,
id0001,id0441,down8k,crop,0.291814,0.395088,0.014582,1,
id0001,id0447,down8k,crop,0.306172,0.458920,0.029944,1,
id0001,id0460,down8k,crop,0.293119,0.320375,0.013716,1,
id0001,id0462,down8k,crop,0.310316,0.398073,0.026406,1,
id0001,id0465,down8k,crop,0.345278,0.357491,0.006425,1,
id0001,id0466,down8k,crop,0.330986,0.434992,0.028713,1,
id0001,id0468,down8k,crop,0.465759,0.563106,0.006685,1,
id0001,id0470,down8k,crop,0.426994,0.481944,0.011493,1,
id0001,id0476,down8k,crop,0.308868,0.415236,0.026899,1,
id0001,id0486,down8k,crop,0.323589,0.422832,0.010446,1,
id0001,id0491,down8k,crop,0.320884,0.441696,0.023400,1,
id0001,id0498,down8k,crop,0.339398,0.404259,0.009743,1,
id0004,id0018,down8k,crop,0.299500,0.390969,0.009292,1,
id0004,id0020,down8k,crop,0.366351,0.467183,0.010409,1,
id0004,id0026,down8k,crop,0.416234,0.432067,0.006495,1,
id0004,id0027,down8k,crop,0.248048,0.364510,0.009132,1,
id0004,id0041,down8k,crop,0.345277,0.462406,0.009801,1,
id0004,id0042,down8k,crop,0.487255,0.592625,0.006093,1,
id0004,id0045,down8k,crop,0.324312,0.406590,0.007621,1,
id0004,id0048,down8k,crop,0.238472,0.294030,0.010499,1,
id0004,id0056,down8k,crop,0.478388,0.507912,0.007881,1,
id0004,id0062,down8k,crop,0.511633,0.603477,0.006978,1,
id0004,id0069,down8k,crop,0.343675,0.466492,0.007975,1,
id0004,id0071,down8k,crop,0.480545,0.620655,0.005634,1,
id0004,id0072,down8k,crop,0.344321,0.418955,0.011948,1,
id0004,id0075,down8k,crop,0.372617,0.432489,0.005423,1,
id0004,id0080,down8k,crop,0.425929,0.523154,0.005419,1,
id0004,id0081,down8k,crop,0.350165,0.432469,0.014193,1,
id0004,id0086,down8k,crop,0.333849,0.485256,0.012361,1,
id0004,id0088,down8k,crop,0.324047,0.419201,0.016078,1,
id0004,id0097,down8k,crop,0.372316,0.448110,0.007659,1,
id0004,id0100,down8k,crop,0.327457,0.478571,0.007687,1,
id0004,id0106,down8k,crop,0.425352,0.477678,0.010653,1,
id0004,id0107,down8k,crop,0.404081,0.439151,0.012961,1,
id0004,id0110,down8k,crop,0.288532,0.333790,0.006862,1,
id0004,id0113,down8k,crop,0.402826,0.516236,0.014182,1,
id0004,id0115,down8k,crop,0.299737,0.330779,0.007332,1,
id0004,id0130,down8k,crop,0.373116,0.455639,0.008713,1,
id0004,id0132,down8k,crop,0.372023,0.411967,0.011388,1,
id0004,id0136,down8k,crop,0.391691,0.512831,0.014205,1,
id0004,id0153,down8k,crop,0.307025,0.379422,0.019026,1,
id0004,id0161,down8k,crop,0.277533,0.347437,0.014449,1,
id0004,id0169,down8k,crop,0.369937,0.460557,0.012075,1,
id0004,id0182,down8k,crop,0.281358,0.302202,0.009156,1,
id0004,id0183,down8k,crop,0.405535,0.525757,0.022062,1,
id0004,id0186,down8k,crop,0.294698,0.349127,0.010624,1,
id0004,id0197,down8k,crop,0.295977,0.384120,0.008926,1,
id0004,id0199,down8k,crop,0.301516,0.511016,0.016324,1,
id0004,id0206,down8k,crop,0.534421,0.679328,0.009315,1,
id0004,id0207,down8k,crop,0.328717,0.419337,0.011320,1,
id0004,id0208,down8k,crop,0.252515,0.339020,0.014217,1,
id0004,id0212,down8k,crop,0.449904,0.502587,0.006399,1,
id0004,id0220,down8k,crop,0.382646,0.364952,0.006964,1,
id0004,id0222,down8k,crop,0.308054,0.413616,0.016676,1,
id0004,id0224,down8k,crop,0.323367,0.416774,0.013971,1,
id0004,id0233,down8k,crop,0.398470,0.406369,0.018724,1,
id0004,id0239,down8k,crop,0.464611,0.583861,0.008175,1,
id0004,id0242,down8k,crop,0.282912,0.288959,0.010750,1,
id0004,id0246,down8k,crop,0.388364,0.480392,0.006597,1,
id0004,id0258,down8k,crop,0.347289,0.415683,0.008103,1,
id0004,id0273,down8k,crop,0.353197,0.389194,0.008633,1,
id0004,id0275,down8k,crop,0.342961,0.392263,0.015154,1,
id0004,id0285,down8k,crop,0.300694,0.382930,0.013565,1,
id0004,id0290,down8k,crop,0.376412,0.514300,0.015524,1,
id0004,id0296,down8k,crop,0.377190,0.429508,0.021195,1,
id0004,id0299,down8k,crop,0.274334,0.324977,0.012970,1,
