subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,down8k,noisy,0.322800,0.384352,0.003324,1,
id0001,id0018,down8k,noisy,0.366204,0.462107,0.006251,1,
id0001,id0020,down8k,noisy,0.345168,0.451461,0.006590,1,
id0001,id0026,down8k,noisy,0.465494,0.548634,0.002891,1,
id0001,id0027,down8k,noisy,0.364464,0.412017,0.003108,1,
id0001,id0041,down8k,noisy,0.287332,0.340198,0.001472,1,
id0001,id0042,down8k,noisy,0.491159,0.566041,0.002552,1,
id0001,id0045,down8k,noisy,0.360608,0.307125,0.001484,1,
id0001,id0048,down8k,noisy,0.335410,0.345095,0.004633,1,
id0001,id0056,down8k,noisy,0.350707,0.431915,0.001228,1,
id0001,id0062,down8k,noisy,0.483203,0.471120,0.001863,1,
id0001,id0069,down8k,noisy,0.345951,0.468996,0.003238,1,
id0001,id0071,down8k,noisy,0.455894,0.474386,0.002517,1,
id0001,id0072,down8k,noisy,0.337381,0.353013,0.002156,1,
id0001,id0075,down8k,noisy,0.409765,0.451697,0.002554,1,
id0001,id0080,down8k,noisy,0.454938,0.496933,0.002694,1,
id0001,id0081,down8k,noisy,0.402132,0.474076,0.002870,1,
id0001,id0086,down8k,noisy,0.362781,0.401578,0.003486,1,
id0001,id0088,down8k,noisy,0.287890,0.378284,0.004073,1,
id0001,id0097,down8k,noisy,0.271231,0.352431,0.003240,1,
id0001,id0100,down8k,noisy,0.340169,0.379880,0.002996,1,
id0001,id0106,down8k,noisy,0.399704,0.518469,0.003546,1,
id0001,id0107,down8k,noisy,0.313481,0.355225,0.004027,1,
id0001,id0110,down8k,noisy,0.337847,0.381555,0.004338,1,
id0001,id0113,down8k,noisy,0.369655,0.410545,0.002564,1,
id0001,id0115,down8k,noisy,0.352460,0.417129,0.001384,1,
id0001,id0130,down8k,noisy,0.292304,0.328206,0.001263,1,
id0001,id0132,down8k,noisy,0.290086,0.294731,0.001116,1,
id0001,id0136,down8k,noisy,0.364559,0.378422,0.002678,1,
id0001,id0153,down8k,noisy,0.290769,0.380771,0.004421,1,
id0001,id0161,down8k,noisy,0.321011,0.375842,0.001928,1,
id0001,id0169,down8k,noisy,0.339859,0.364680,0.001771,1,
id0001,id0182,down8k,noisy,0.353581,0.443193,0.004305,1,
id0001,id0183,down8k,noisy,0.377801,0.529909,0.006633,1,
id0001,id0186,down8k,noisy,0.276798,0.352309,0.001358,1,
id0001,id0197,down8k,noisy,0.349722,0.373863,0.003690,1,
id0001,id0199,down8k,noisy,0.333997,0.494901,0.004708,1,
id0001,id0206,down8k,noisy,0.582220,0.654490,0.005012,1,
id0001,id0207,down8k,noisy,0.366138,0.383339,0.001525,1,
id0001,id0208,down8k,noisy,0.272983,0.277829,0.002646,1,
id0001,id0212,down8k,noisy,0.421550,0.366321,0.003402,1,
id0001,id0220,down8k,noisy,0.352810,0.323478,0.002322,1,
id0001,id0222,down8k,noisy,0.346686,0.290963,0.003403,1,
id0001,id0224,down8k,noisy,0.400929,0.482795,0.002541,1,
id0001,id0233,down8k,noisy,0.285536,0.351792,0.002666,1,
id0001,id0239,down8k,noisy,0.522106,0.607067,0.002799,1,
id0001,id0242,down8k,noisy,0.298460,0.358724,0.002121,1,
id0001,id0246,down8k,noisy,0.385500,0.348444,0.001079,1,
id0001,id0258,down8k,noisy,0.322260,0.363828,0.002276,1,
id0001,id0273,down8k,noisy,0.281542,0.378872,0.001974,1,
id0001,id0275,down8k,noisy,0.283546,0.228880,0.001449,1,
id0001,id0285,down8k,noisy,0.310977,0.426778,0.003374,1,
id0001,id0290,down8k,noisy,0.412985,0.474466,0.005241,1,
id0001,id0296,down8k,noisy,0.295725,0.264769,0.001993,1,
id0001,id0299,down8k,noisy,0.273174,0.278716,0.002578,1,
id0001,id0303,down8k,noisy,0.274224,0.333552,0.004206,1,
id0001,id0319,down8k,noisy,0.418635,0.380288,0.003451,1,
id0001,id0321,down8k,noisy,0.346538,0.362756,0.005344,1,
id0001,id0326,down8k,noisy,0.362382,0.459966,0.003949,1,
id0001,id0328,down8k,noisy,0.260064,0.361148,0.002856,1,
id0001,id0330,down8k,noisy,0.382978,0.443557,0.002666,1,
id0001,id0342,down8k,noisy,0.302526,0.378133,0.002110,1,
id0001,id0346,down8k,noisy,0.364628,0.416135,0.002906,1,
id0001,id0363,down8k,noisy,0.316617,0.425943,0.001280,1,
id0001,id0367,down8k,noisy,0.400716,0.383663,0.001397,1,
id0001,id0368,down8k,noisy,0.278228,0.275508,0.002102,1,
id0001,id0369,down8k,noisy,0.323987,0.472234,0.004232,1,
id0001,id0372,down8k,noisy,0.441989,0.355033,0.001630,1,
id0001,id0373,down8k,noisy,0.348212,0.405045,0.003199,1,
id0001,id0374,down8k,noisy,0.441220,0.485460,0.003272,1,
id0001,id0378,down8k,noisy,0.309927,0.315257,0.001841,1,
id0001,id0381,down8k,noisy,0.386134,0.349095,0.001887,1,
id0001,id0382,down8k,noisy,0.362844,0.381064,0.002556,1,
id0001,id0392,down8k,noisy,0.343611,0.394196,0.001698,1,
id0001,id0396,down8k,noisy,0.337015,0.471196,0.001620,1,
id0001,id0398,down8k,noisy,0.483421,0.555511,0.005995,1,
id0001,id0399,down8k,noisy,0.220824,0.267720,0.002498,1,
id0001,id0401,down8k,noisy,0.325417,0.407395,0.002165,1,
id0001,id0402,down8k,noisy,0.362388,0.351576,0.001708,1,
id0001,id0404,down8k,noisy,0.394736,0.371270,0.002721,1,
id0001,id0411,down8k,noisy,0.380956,0.452730,0.002204,1,
id0001,id0412,down8k,noisy,0.338277,0.285064,0.001504,1,
id0001,id0418,down8k,noisy,0.458799,0.455570,0.002795,1,
id0001,id0421,down8k,noisy,0.292851,0.316722,0.001292,1,
id0001,id0422,down8k,noisy,0.320140,0.397066,0.002543,1,
id0001,id0431,down8k,noisy,0.344573,0.431084,0.003524,1,
id0001,id0437,down8k,noisy,0.401537,0.490428,0.002928,1,
id0001,id0441,down8k,noisy,0.291814,0.310931,0.001729,1,
id0001,id0447,down8k,noisy,0.306172,0.418695,0.007116,1,
id0001,id0460,down8k,noisy,0.293119,0.399949,0.001388,1,
id0001,id0462,down8k,noisy,0.310316,0.370262,0.003330,1,
id0001,id0465,down8k,noisy,0.345278,0.342833,0.002239,1,
id0001,id0466,down8k,noisy,0.330986,0.376312,0.005092,1,
id0001,id0468,down8k,noisy,0.465759,0.560606,0.003532,1,
id0001,id0470,down8k,noisy,0.426994,0.428073,0.002888,1,
id0001,id0476,down8k,noisy,0.308868,0.358297,0.003679,1,
id0001,id0486,down8k,noisy,0.323589,0.399286,0.002867,1,
id0001,id0491,down8k,noisy,0.320884,0.376418,0.002539,1,
id0001,id0498,down8k,noisy,0.339398,0.411871,0.001584,1,
id0004,id0018,down8k,noisy,0.299500,0.368706,0.003288,1,
id0004,id0020,down8k,noisy,0.366351,0.435867,0.004783,1,
id0004,id0026,down8k,noisy,0.416234,0.512099,0.003275,1,
id0004,id0027,down8k,noisy,0.248048,0.343986,0.002153,1,
id0004,id0041,down8k,noisy,0.345277,0.403242,0.002687,1,
id0004,id0042,down8k,noisy,0.487255,0.593411,0.004662,1,
id0004,id0045,down8k,noisy,0.324312,0.340312,0.001606,1,
id0004,id0048,down8k,noisy,0.238472,0.237842,0.002556,1,
id0004,id0056,down8k,noisy,0.478388,0.472401,0.002772,1,
id0004,id0062,down8k,noisy,0.511633,0.581828,0.003761,1,
id0004,id0069,down8k,noisy,0.343675,0.421273,0.003006,1,
id0004,id0071,down8k,noisy,0.480545,0.560492,0.005333,1,
id0004,id0072,down8k,noisy,0.344321,0.362269,0.002527,1,
id0004,id0075,down8k,noisy,0.372617,0.437122,0.002878,1,
id0004,id0080,down8k,noisy,0.425929,0.513986,0.003233,1,
id0004,id0081,down8k,noisy,0.350165,0.432505,0.001754,1,
id0004,id0086,down8k,noisy,0.333849,0.436335,0.003675,1,
id0004,id0088,down8k,noisy,0.324047,0.336756,0.003134,1,
id0004,id0097,down8k,noisy,0.372316,0.422590,0.003150,1,
id0004,id0100,down8k,noisy,0.327457,0.439656,0.003303,1,
id0004,id0106,down8k,noisy,0.425352,0.496853,0.003625,1,
id0004,id0107,down8k,noisy,0.404081,0.379516,0.002966,1,
id0004,id0110,down8k,noisy,0.288532,0.318182,0.003026,1,
id0004,id0113,down8k,noisy,0.402826,0.461546,0.003566,1,
id0004,id0115,down8k,noisy,0.299737,0.405001,0.001561,1,
id0004,id0130,down8k,noisy,0.373116,0.384730,0.001375,1,
id0004,id0132,down8k,noisy,0.372023,0.398260,0.001794,1,
id0004,id0136,down8k,noisy,0.391691,0.410492,0.002570,1,
id0004,id0153,down8k,noisy,0.307025,0.247950,0.002258,1,
id0004,id0161,down8k,noisy,0.277533,0.329039,0.001666,1,
id0004,id0169,down8k,noisy,0.369937,0.419143,0.003107,1,
id0004,id0182,down8k,noisy,0.281358,0.301272,0.002047,1,
id0004,id0183,down8k,noisy,0.405535,0.476649,0.004592,1,
id0004,id0186,down8k,noisy,0.294698,0.324350,0.002040,1,
id0004,id0197,down8k,noisy,0.295977,0.363346,0.002826,1,
id0004,id0199,down8k,noisy,0.301516,0.448713,0.003118,1,
id0004,id0206,down8k,noisy,0.534421,0.701274,0.006254,1,
id0004,id0207,down8k,noisy,0.328717,0.361336,0.002127,1,
id0004,id0208,down8k,noisy,0.252515,0.246014,0.001246,1,
id0004,id0212,down8k,noisy,0.449904,0.442405,0.003545,1,
id0004,id0220,down8k,noisy,0.382646,0.324365,0.002336,1,
id0004,id0222,down8k,noisy,0.308054,0.344712,0.002962,1,
id0004,id0224,down8k,noisy,0.323367,0.399853,0.002212,1,
id0004,id0233,down8k,noisy,0.398470,0.261248,0.001984,1,
id0004,id0239,down8k,noisy,0.464611,0.598457,0.004555,1,
id0004,id0242,down8k,noisy,0.282912,0.248114,0.001483,1,
id0004,id0246,down8k,noisy,0.388364,0.446670,0.002764,1,
id0004,id0258,down8k,noisy,0.347289,0.352452,0.002401,1,
id0004,id0273,down8k,noisy,0.353197,0.333649,0.001968,1,
id0004,id0275,down8k,noisy,0.342961,0.278539,0.001175,1,
id0004,id0285,down8k,noisy,0.300694,0.382939,0.002593,1,
id0004,id0290,down8k,noisy,0.376412,0.374680,0.003203,1,
id0004,id0296,down8k,noisy,0.377190,0.363901,0.002054,1,
id0004,id0299,down8k,noisy,0.274334,0.290243,0.002119,1,
id0004,id0303,down8k,noisy,0.376417,0.428121,0.003902,1,
id0004,id0319,down8k,noisy,0.399626,0.447376,0.003072,1,
id0004,id0321,down8k,noisy,0.359361,0.402796,0.004182,1,
id0004,id0326,down8k,noisy,0.333240,0.505477,0.003267,1,
id0004,id0328,down8k,noisy,0.303851,0.305087,0.002031,1,
id0004,id0330,down8k,noisy,0.378090,0.413545,0.002932,1,
