subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,original,down8k,0.322800,0.328341,0.002055,1,
id0001,id0018,original,down8k,0.366204,0.431988,0.002084,1,
id0001,id0020,original,down8k,0.345168,0.425874,0.002080,1,
id0001,id0026,original,down8k,0.465494,0.612515,0.004084,1,
id0001,id0027,original,down8k,0.364464,0.427879,0.001786,1,
id0001,id0041,original,down8k,0.287332,0.417559,0.003034,1,
id0001,id0042,original,down8k,0.491159,0.616006,0.006929,1,
id0001,id0045,original,down8k,0.360608,0.345353,0.001824,1,
id0001,id0048,original,down8k,0.335410,0.349280,0.001990,1,
id0001,id0056,original,down8k,0.350707,0.511579,0.004033,1,
id0001,id0062,original,down8k,0.483203,0.556390,0.005709,1,
id0001,id0069,original,down8k,0.345951,0.482366,0.002815,1,
id0001,id0071,original,down8k,0.455894,0.561163,0.006346,1,
id0001,id0072,original,down8k,0.337381,0.384276,0.002462,1,
id0001,id0075,original,down8k,0.409765,0.530135,0.003007,1,
id0001,id0080,original,down8k,0.454938,0.577017,0.005493,1,
id0001,id0081,original,down8k,0.402132,0.536868,0.002766,1,
id0001,id0086,original,down8k,0.362781,0.454878,0.002672,1,
id0001,id0088,original,down8k,0.287890,0.402893,0.003043,1,
id0001,id0097,original,down8k,0.271231,0.344277,0.001635,1,
id0001,id0100,original,down8k,0.340169,0.429595,0.003064,1,
id0001,id0106,original,down8k,0.399704,0.568239,0.004601,1,
id0001,id0107,original,down8k,0.313481,0.354302,0.001352,1,
id0001,id0110,original,down8k,0.337847,0.435176,0.001507,1,
id0001,id0113,original,down8k,0.369655,0.472711,0.004421,1,
id0001,id0115,original,down8k,0.352460,0.445231,0.003173,1,
id0001,id0130,original,down8k,0.292304,0.375667,0.001937,1,
id0001,id0132,original,down8k,0.290086,0.386314,0.002426,1,
id0001,id0136,original,down8k,0.364559,0.442224,0.002719,1,
id0001,id0153,original,down8k,0.290769,0.379582,0.001663,1,
id0001,id0161,original,down8k,0.321011,0.421356,0.002681,1,
id0001,id0169,original,down8k,0.339859,0.406178,0.003025,1,
id0001,id0182,original,down8k,0.353581,0.450946,0.001907,1,
id0001,id0183,original,down8k,0.377801,0.502014,0.003502,1,
id0001,id0186,original,down8k,0.276798,0.379751,0.002099,1,
id0001,id0197,original,down8k,0.349722,0.409221,0.002391,1,
id0001,id0199,original,down8k,0.333997,0.424631,0.001938,1,
id0001,id0206,original,down8k,0.582220,0.712189,0.007154,1,
id0001,id0207,original,down8k,0.366138,0.448846,0.002567,1,
id0001,id0208,original,down8k,0.272983,0.321586,0.001438,1,
id0001,id0212,original,down8k,0.421550,0.421288,0.002790,1,
id0001,id0220,original,down8k,0.352810,0.347708,0.001715,1,
id0001,id0222,original,down8k,0.346686,0.319330,0.001836,1,
id0001,id0224,original,down8k,0.400929,0.540096,0.003568,1,
id0001,id0233,original,down8k,0.285536,0.360455,0.001382,1,
id0001,id0239,original,down8k,0.522106,0.649813,0.006363,1,
id0001,id0242,original,down8k,0.298460,0.396445,0.002359,1,
id0001,id0246,original,down8k,0.385500,0.415870,0.003528,1,
id0001,id0258,original,down8k,0.322260,0.415205,0.002471,1,
id0001,id0273,original,down8k,0.281542,0.412895,0.002111,1,
id0001,id0275,original,down8k,0.283546,0.248866,0.001221,1,
id0001,id0285,original,down8k,0.310977,0.449030,0.002429,1,
id0001,id0290,original,down8k,0.412985,0.452298,0.001783,1,
id0001,id0296,original,down8k,0.295725,0.301165,0.001576,1,
id0001,id0299,original,down8k,0.273174,0.320161,0.001584,1,
id0001,id0303,original,down8k,0.274224,0.341314,0.001710,1,
id0001,id0319,original,down8k,0.418635,0.353082,0.002078,1,
id0001,id0321,original,down8k,0.346538,0.374670,0.001965,1,
id0001,id0326,original,down8k,0.362382,0.423813,0.002435,1,
id0001,id0328,original,down8k,0.260064,0.377158,0.001254,1,
id0001,id0330,original,down8k,0.382978,0.465131,0.003057,1,
id0001,id0342,original,down8k,0.302526,0.428294,0.002965,1,
id0001,id0346,original,down8k,0.364628,0.483030,0.003504,1,
id0001,id0363,original,down8k,0.316617,0.482772,0.003245,1,
id0001,id0367,original,down8k,0.400716,0.417314,0.002666,1,
id0001,id0368,original,down8k,0.278228,0.288419,0.001962,1,
id0001,id0369,original,down8k,0.323987,0.402983,0.001547,1,
id0001,id0372,original,down8k,0.441989,0.355735,0.001884,1,
id0001,id0373,original,down8k,0.348212,0.428319,0.002085,1,
id0001,id0374,original,down8k,0.441220,0.453470,0.001579,1,
id0001,id0378,original,down8k,0.309927,0.340410,0.001575,1,
id0001,id0381,original,down8k,0.386134,0.342961,0.002020,1,
id0001,id0382,original,down8k,0.362844,0.455253,0.003358,1,
id0001,id0392,original,down8k,0.343611,0.477836,0.003303,1,
id0001,id0396,original,down8k,0.337015,0.493565,0.003754,1,
id0001,id0398,original,down8k,0.483421,0.608694,0.004635,1,
id0001,id0399,original,down8k,0.220824,0.267661,0.000880,1,
id0001,id0401,original,down8k,0.325417,0.452296,0.002488,1,
id0001,id0402,original,down8k,0.362388,0.387418,0.001978,1,
id0001,id0404,original,down8k,0.394736,0.435020,0.003644,1,
id0001,id0411,original,down8k,0.380956,0.530276,0.004012,1,
id0001,id0412,original,down8k,0.338277,0.362348,0.002777,1,
id0001,id0418,original,down8k,0.458799,0.493703,0.002750,1,
id0001,id0421,original,down8k,0.292851,0.370474,0.002392,1,
id0001,id0422,original,down8k,0.320140,0.446045,0.002776,1,
id0001,id0431,original,down8k,0.344573,0.435984,0.002530,1,
id0001,id0437,original,down8k,0.401537,0.482362,0.001629,1,
id0001,id0441,original,down8k,0.291814,0.361270,0.002959,1,
id0001,id0447,original,down8k,0.306172,0.350643,0.001929,1,
id0001,id0460,original,down8k,0.293119,0.464962,0.002440,1,
id0001,id0462,original,down8k,0.310316,0.398412,0.002319,1,
id0001,id0465,original,down8k,0.345278,0.376778,0.003084,1,
id0001,id0466,original,down8k,0.330986,0.371726,0.002260,1,
id0001,id0468,original,down8k,0.465759,0.657706,0.005760,1,
id0001,id0470,original,down8k,0.426994,0.484015,0.003894,1,
id0001,id0476,original,down8k,0.308868,0.316896,0.001783,1,
id0001,id0486,original,down8k,0.323589,0.498221,0.002120,1,
id0001,id0491,original,down8k,0.320884,0.389464,0.001795,1,
id0001,id0498,original,down8k,0.339398,0.417466,0.002321,1,
id0004,id0018,original,down8k,0.299500,0.384671,0.001410,1,
id0004,id0020,original,down8k,0.366351,0.450007,0.002062,1,
id0004,id0026,original,down8k,0.416234,0.628583,0.007466,1,
id0004,id0027,original,down8k,0.248048,0.402097,0.003495,1,
id0004,id0041,original,down8k,0.345277,0.517738,0.007631,1,
id0004,id0042,original,down8k,0.487255,0.706021,0.012610,1,
id0004,id0045,original,down8k,0.324312,0.449476,0.004788,1,
id0004,id0048,original,down8k,0.238472,0.260995,0.001967,1,
id0004,id0056,original,down8k,0.478388,0.610618,0.008853,1,
id0004,id0062,original,down8k,0.511633,0.713444,0.010905,1,
id0004,id0069,original,down8k,0.343675,0.479460,0.004858,1,
id0004,id0071,original,down8k,0.480545,0.694146,0.012751,1,
id0004,id0072,original,down8k,0.344321,0.453083,0.005663,1,
id0004,id0075,original,down8k,0.372617,0.563887,0.005683,1,
id0004,id0080,original,down8k,0.425929,0.658737,0.009614,1,
id0004,id0081,original,down8k,0.350165,0.550788,0.003317,1,
id0004,id0086,original,down8k,0.333849,0.510963,0.005402,1,
id0004,id0088,original,down8k,0.324047,0.428555,0.004389,1,
id0004,id0097,original,down8k,0.372316,0.475091,0.004431,1,
id0004,id0100,original,down8k,0.327457,0.530571,0.006809,1,
id0004,id0106,original,down8k,0.425352,0.599186,0.007433,1,
id0004,id0107,original,down8k,0.404081,0.430971,0.003000,1,
id0004,id0110,original,down8k,0.288532,0.430657,0.002121,1,
id0004,id0113,original,down8k,0.402826,0.554525,0.008898,1,
id0004,id0115,original,down8k,0.299737,0.497581,0.006297,1,
id0004,id0130,original,down8k,0.373116,0.494777,0.004546,1,
id0004,id0132,original,down8k,0.372023,0.522427,0.006144,1,
id0004,id0136,original,down8k,0.391691,0.520923,0.004630,1,
id0004,id0153,original,down8k,0.307025,0.322107,0.001868,1,
id0004,id0161,original,down8k,0.277533,0.422347,0.005374,1,
id0004,id0169,original,down8k,0.369937,0.493418,0.007317,1,
id0004,id0182,original,down8k,0.281358,0.347653,0.002043,1,
id0004,id0183,original,down8k,0.405535,0.454637,0.002801,1,
id0004,id0186,original,down8k,0.294698,0.404891,0.005278,1,
id0004,id0197,original,down8k,0.295977,0.430024,0.003619,1,
id0004,id0199,original,down8k,0.301516,0.397983,0.002229,1,
id0004,id0206,original,down8k,0.534421,0.801377,0.011205,1,
id0004,id0207,original,down8k,0.328717,0.490437,0.005490,1,
id0004,id0208,original,down8k,0.252515,0.358524,0.002008,1,
id0004,id0212,original,down8k,0.449904,0.507014,0.003078,1,
id0004,id0220,original,down8k,0.382646,0.405881,0.004352,1,
id0004,id0222,original,down8k,0.308054,0.403059,0.003087,1,
id0004,id0224,original,down8k,0.323367,0.517831,0.005774,1,
id0004,id0233,original,down8k,0.398470,0.339223,0.002989,1,
id0004,id0239,original,down8k,0.464611,0.691209,0.011573,1,
id0004,id0242,original,down8k,0.282912,0.377812,0.004105,1,
id0004,id0246,original,down8k,0.388364,0.569484,0.008600,1,
id0004,id0258,original,down8k,0.347289,0.470392,0.005557,1,
id0004,id0273,original,down8k,0.353197,0.428705,0.005172,1,
id0004,id0275,original,down8k,0.342961,0.361312,0.003323,1,
id0004,id0285,original,down8k,0.300694,0.458932,0.003860,1,
id0004,id0290,original,down8k,0.376412,0.365502,0.001969,1,
id0004,id0296,original,down8k,0.377190,0.424180,0.003916,1,
id0004,id0299,original,down8k,0.274334,0.397340,0.003456,1,
id0004,id0303,original,down8k,0.376417,0.470439,0.003838,1,
id0004,id0319,original,down8k,0.399626,0.482311,0.004327,1,
id0004,id0321,original,down8k,0.359361,0.456171,0.002528,1,
id0004,id0326,original,down8k,0.333240,0.487292,0.003852,1,
id0004,id0328,original,down8k,0.303851,0.362668,0.002691,1,
id0004,id0330,original,down8k,0.378090,0.473803,0.006418,1,
id0004,id0342,original,down8k,0.350086,0.495336,0.006544,1,
id0004,id0346,original,down8k,0.331411,0.517243,0.006467,1,
id0004,id0363,original,down8k,0.357624,0.535032,0.006720,1,
id0004,id0367,original,down8k,0.332776,0.460188,0.006300,1,
id0004,id0368,original,down8k,0.268145,0.330844,0.003081,1,
id0004,id0369,original,down8k,0.306576,0.371082,0.002355,1,
id0004,id0372,original,down8k,0.348164,0.407200,0.004926,1,
id0004,id0373,original,down8k,0.253746,0.317204,0.001960,1,
id0004,id0374,original,down8k,0.488771,0.440230,0.002760,1,
id0004,id0378,original,down8k,0.257372,0.393026,0.003876,1,
id0004,id0381,original,down8k,0.262163,0.351390,0.003295,1,
id0004,id0382,original,down8k,0.443676,0.604884,0.007422,1,
id0004,id0392,original,down8k,0.334855,0.525687,0.006997,1,
id0004,id0396,original,down8k,0.329644,0.493566,0.006927,1,
id0004,id0398,original,down8k,0.455912,0.686302,0.007511,1,
id0004,id0399,original,down8k,0.341713,0.359781,0.002357,1,
id0004,id0401,original,down8k,0.404764,0.534367,0.006527,1,
id0004,id0402,original,down8k,0.287139,0.451766,0.004078,1,
id0004,id0404,original,down8k,0.385459,0.534469,0.006827,1,
id0004,id0411,original,down8k,0.444882,0.651593,0.008169,1,
id0004,id0412,original,down8k,0.346228,0.498279,0.007264,1,
id0004,id0418,original,down8k,0.352156,0.552198,0.005777,1,
id0004,id0421,original,down8k,0.283581,0.455587,0.005292,1,
id0004,id0422,original,down8k,0.295274,0.436534,0.004952,1,
id0004,id0431,original,down8k,0.344802,0.570305,0.005495,1,
id0004,id0437,original,down8k,0.335827,0.456559,0.003762,1,
id0004,id0441,original,down8k,0.345794,0.482794,0.006758,1,
id0004,id0447,original,down8k,0.379462,0.388728,0.001835,1,
id0004,id0460,original,down8k,0.277219,0.492662,0.004833,1,
id0004,id0462,original,down8k,0.359342,0.457459,0.003881,1,
id0004,id0465,original,down8k,0.413186,0.531159,0.007413,1,
id0004,id0466,original,down8k,0.322157,0.336252,0.001688,1,
id0004,id0468,original,down8k,0.497404,0.748376,0.010273,1,
id0004,id0470,original,down8k,0.394680,0.561507,0.007739,1,
id0004,id0476,original,down8k,0.263739,0.228782,0.001340,1,
id0004,id0486,original,down8k,0.421167,0.549572,0.003456,1,
id0004,id0491,original,down8k,0.283154,0.318479,0.003238,1,
id0004,id0498,original,down8k,0.366030,0.462027,0.004864,1,
id0018,id0020,original,down8k,0.275566,0.357023,0.002733,1,
id0018,id0026,original,down8k,0.382527,0.671357,0.011008,1,
id0018,id0027,original,down8k,0.290609,0.456894,0.006274,1,
id0018,id0041,original,down8k,0.337230,0.557944,0.011327,1,
id0018,id0042,original,down8k,0.511120,0.816552,0.017913,1,
id0018,id0045,original,down8k,0.286276,0.491725,0.008365,1,
id0018,id0048,original,down8k,0.272980,0.456276,0.003866,1,
id0018,id0056,original,down8k,0.419521,0.571329,0.013119,1,
id0018,id0062,original,down8k,0.534391,0.791420,0.015949,1,
id0018,id0069,original,down8k,0.467310,0.634546,0.008152,1,
id0018,id0071,original,down8k,0.456118,0.692123,0.017456,1,
id0018,id0072,original,down8k,0.388603,0.569161,0.009199,1,
id0018,id0075,original,down8k,0.308999,0.530923,0.008746,1,
id0018,id0080,original,down8k,0.464278,0.786534,0.014573,1,
id0018,id0081,original,down8k,0.325128,0.566611,0.006219,1,
id0018,id0086,original,down8k,0.393905,0.620594,0.008109,1,
id0018,id0088,original,down8k,0.358025,0.555113,0.007252,1,
id0018,id0097,original,down8k,0.290321,0.408123,0.006551,1,
id0018,id0100,original,down8k,0.357246,0.625376,0.009939,1,
id0018,id0106,original,down8k,0.519131,0.750511,0.011593,1,
id0018,id0107,original,down8k,0.340912,0.355716,0.004613,1,
