subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,remesh,crop,0.322800,0.443483,0.015986,1,
id0001,id0018,remesh,crop,0.366204,0.496585,0.009707,1,
id0001,id0020,remesh,crop,0.345168,0.491740,0.009253,1,
id0001,id0026,remesh,crop,0.465494,0.415260,0.005931,1,
id0001,id0027,remesh,crop,0.364464,0.428604,0.010088,1,
id0001,id0041,remesh,crop,0.287332,0.411770,0.008778,1,
id0001,id0042,remesh,crop,0.491159,0.520568,0.005341,1,
id0001,id0045,remesh,crop,0.360608,0.309119,0.007414,1,
id0001,id0048,remesh,crop,0.335410,0.369558,0.010299,1,
id0001,id0056,remesh,crop,0.350707,0.482999,0.007844,1,
id0001,id0062,remesh,crop,0.483203,0.469111,0.006137,1,
id0001,id0069,remesh,crop,0.345951,0.525797,0.008760,1,
id0001,id0071,remesh,crop,0.455894,0.521104,0.004747,1,
id0001,id0072,remesh,crop,0.337381,0.388710,0.011427,1,
id0001,id0075,remesh,crop,0.409765,0.414892,0.004705,1,
id0001,id0080,remesh,crop,0.454938,0.448723,0.005197,1,
id0001,id0081,remesh,crop,0.402132,0.458018,0.014241,1,
id0001,id0086,remesh,crop,0.362781,0.453884,0.010957,1,
id0001,id0088,remesh,crop,0.287890,0.430074,0.015809,1,
id0001,id0097,remesh,crop,0.271231,0.349469,0.007293,1,
id0001,id0100,remesh,crop,0.340169,0.392309,0.006703,1,
id0001,id0106,remesh,crop,0.399704,0.498569,0.010931,1,
id0001,id0107,remesh,crop,0.313481,0.435207,0.012455,1,
id0001,id0110,remesh,crop,0.337847,0.355047,0.006697,1,
id0001,id0113,remesh,crop,0.369655,0.447642,0.012712,1,
id0001,id0115,remesh,crop,0.352460,0.344064,0.008366,1,
id0001,id0130,remesh,crop,0.292304,0.370420,0.008197,1,
id0001,id0132,remesh,crop,0.290086,0.340930,0.011048,1,
id0001,id0136,remesh,crop,0.364559,0.452385,0.013571,1,
id0001,id0153,remesh,crop,0.290769,0.498938,0.019769,1,
id0001,id0161,remesh,crop,0.321011,0.392419,0.014853,1,
id0001,id0169,remesh,crop,0.339859,0.412652,0.011508,1,
id0001,id0182,remesh,crop,0.353581,0.430209,0.010295,1,
id0001,id0183,remesh,crop,0.377801,0.634676,0.021284,1,
id0001,id0186,remesh,crop,0.276798,0.379628,0.010581,1,
id0001,id0197,remesh,crop,0.349722,0.425446,0.007987,1,
id0001,id0199,remesh,crop,0.333997,0.612237,0.016002,1,
id0001,id0206,remesh,crop,0.582220,0.589204,0.007994,1,
id0001,id0207,remesh,crop,0.366138,0.439650,0.011201,1,
id0001,id0208,remesh,crop,0.272983,0.361632,0.014922,1,
id0001,id0212,remesh,crop,0.421550,0.399091,0.005528,1,
id0001,id0220,remesh,crop,0.352810,0.346472,0.006153,1,
id0001,id0222,remesh,crop,0.346686,0.368030,0.015167,1,
id0001,id0224,remesh,crop,0.400929,0.507327,0.014489,1,
id0001,id0233,remesh,crop,0.285536,0.515059,0.018516,1,
id0001,id0239,remesh,crop,0.522106,0.590483,0.008735,1,
id0001,id0242,remesh,crop,0.298460,0.417466,0.012891,1,
id0001,id0246,remesh,crop,0.385500,0.372864,0.006470,1,
id0001,id0258,remesh,crop,0.322260,0.422674,0.007966,1,
id0001,id0273,remesh,crop,0.281542,0.447495,0.008513,1,
id0001,id0275,remesh,crop,0.283546,0.353219,0.014761,1,
id0001,id0285,remesh,crop,0.310977,0.431124,0.014296,1,
id0001,id0290,remesh,crop,0.412985,0.642584,0.015211,1,
id0001,id0296,remesh,crop,0.295725,0.368204,0.019446,1,
id0001,id0299,remesh,crop,0.273174,0.314460,0.012842,1,
id0001,id0303,remesh,crop,0.274224,0.355741,0.012448,1,
id0001,id0319,remesh,crop,0.418635,0.368905,0.007201,1,
id0001,id0321,remesh,crop,0.346538,0.453931,0.012673,1,
id0001,id0326,remesh,crop,0.362382,0.513361,0.020990,1,
id0001,id0328,remesh,crop,0.260064,0.469872,0.013820,1,
id0001,id0330,remesh,crop,0.382978,0.473929,0.006497,1,
id0001,id0342,remesh,crop,0.302526,0.435455,0.010745,1,
id0001,id0346,remesh,crop,0.364628,0.425062,0.010077,1,
id0001,id0363,remesh,crop,0.316617,0.333280,0.006250,1,
id0001,id0367,remesh,crop,0.400716,0.413183,0.007798,1,
id0001,id0368,remesh,crop,0.278228,0.370955,0.018930,1,
id0001,id0369,remesh,crop,0.323987,0.550050,0.021468,1,
id0001,id0372,remesh,crop,0.441989,0.371386,0.011621,1,
id0001,id0373,remesh,crop,0.348212,0.538181,0.012948,1,
id0001,id0374,remesh,crop,0.441220,0.512006,0.006176,1,
id0001,id0378,remesh,crop,0.309927,0.381325,0.014258,1,
id0001,id0381,remesh,crop,0.386134,0.352830,0.013784,1,
id0001,id0382,remesh,crop,0.362844,0.382189,0.004801,1,
id0001,id0392,remesh,crop,0.343611,0.417280,0.008536,1,
id0001,id0396,remesh,crop,0.337015,0.453477,0.006401,1,
id0001,id0398,remesh,crop,0.483421,0.579559,0.008727,1,
id0001,id0399,remesh,crop,0.220824,0.351259,0.009229,1,
id0001,id0401,remesh,crop,0.325417,0.469672,0.006818,1,
id0001,id0402,remesh,crop,0.362388,0.321622,0.009011,1,
id0001,id0404,remesh,crop,0.394736,0.450348,0.011871,1,
id0001,id0411,remesh,crop,0.380956,0.436634,0.004943,1,
id0001,id0412,remesh,crop,0.338277,0.364230,0.011636,1,
id0001,id0418,remesh,crop,0.458799,0.475385,0.017381,1,
id0001,id0421,remesh,crop,0.292851,0.303573,0.008673,1,
id0001,id0422,remesh,crop,0.320140,0.450322,0.012156,1,
id0001,id0431,remesh,crop,0.344573,0.467303,0.013169,1,
id0001,id0437,remesh,crop,0.401537,0.597218,0.018444,1,
id0001,id0441,remesh,crop,0.291814,0.386443,0.010984,1,
id0001,id0447,remesh,crop,0.306172,0.480261,0.023084,1,
id0001,id0460,remesh,crop,0.293119,0.325939,0.009857,1,
id0001,id0462,remesh,crop,0.310316,0.427681,0.020036,1,
id0001,id0465,remesh,crop,0.345278,0.354870,0.004510,1,
id0001,id0466,remesh,crop,0.330986,0.457612,0.022044,1,
id0001,id0468,remesh,crop,0.465759,0.560062,0.005660,1,
id0001,id0470,remesh,crop,0.426994,0.483743,0.008542,1,
id0001,id0476,remesh,crop,0.308868,0.435664,0.020124,1,
id0001,id0486,remesh,crop,0.323589,0.451754,0.007045,1,
id0001,id0491,remesh,crop,0.320884,0.444877,0.017617,1,
id0001,id0498,remesh,crop,0.339398,0.406855,0.006501,1,
id0004,id0018,remesh,crop,0.299500,0.374694,0.004603,1,
id0004,id0020,remesh,crop,0.366351,0.459742,0.005779,1,
id0004,id0026,remesh,crop,0.416234,0.433204,0.004321,1,
id0004,id0027,remesh,crop,0.248048,0.364016,0.005716,1,
