subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,remesh,original,0.322800,0.412627,0.003331,1,
id0001,id0018,remesh,original,0.366204,0.498649,0.005406,1,
id0001,id0020,remesh,original,0.345168,0.499889,0.005453,1,
id0001,id0026,remesh,original,0.465494,0.542296,0.003305,1,
id0001,id0027,remesh,original,0.364464,0.427039,0.003177,1,
id0001,id0041,remesh,original,0.287332,0.353927,0.002086,1,
id0001,id0042,remesh,original,0.491159,0.549340,0.003635,1,
id0001,id0045,remesh,original,0.360608,0.305471,0.001421,1,
id0001,id0048,remesh,original,0.335410,0.378901,0.004150,1,
id0001,id0056,remesh,original,0.350707,0.422391,0.002023,1,
id0001,id0062,remesh,original,0.483203,0.466628,0.002684,1,
id0001,id0069,remesh,original,0.345951,0.475893,0.003630,1,
id0001,id0071,remesh,original,0.455894,0.466021,0.003678,1,
id0001,id0072,remesh,original,0.337381,0.349870,0.002294,1,
id0001,id0075,remesh,original,0.409765,0.475042,0.002927,1,
id0001,id0080,remesh,original,0.454938,0.491074,0.003074,1,
id0001,id0081,remesh,original,0.402132,0.471671,0.002857,1,
id0001,id0086,remesh,original,0.362781,0.437360,0.003339,1,
id0001,id0088,remesh,original,0.287890,0.402593,0.003745,1,
id0001,id0097,remesh,original,0.271231,0.362004,0.003165,1,
id0001,id0100,remesh,original,0.340169,0.389540,0.002906,1,
id0001,id0106,remesh,original,0.399704,0.530502,0.003817,1,
id0001,id0107,remesh,original,0.313481,0.409759,0.003671,1,
id0001,id0110,remesh,original,0.337847,0.411977,0.004046,1,
id0001,id0113,remesh,original,0.369655,0.415768,0.003066,1,
id0001,id0115,remesh,original,0.352460,0.382611,0.002016,1,
id0001,id0130,remesh,original,0.292304,0.329056,0.000982,1,
id0001,id0132,remesh,original,0.290086,0.295337,0.001510,1,
id0001,id0136,remesh,original,0.364559,0.400256,0.002672,1,
id0001,id0153,remesh,original,0.290769,0.431667,0.003838,1,
id0001,id0161,remesh,original,0.321011,0.381368,0.002535,1,
id0001,id0169,remesh,original,0.339859,0.366451,0.002529,1,
id0001,id0182,remesh,original,0.353581,0.465680,0.004217,1,
id0001,id0183,remesh,original,0.377801,0.585845,0.006075,1,
id0001,id0186,remesh,original,0.276798,0.354555,0.002351,1,
id0001,id0197,remesh,original,0.349722,0.423559,0.003041,1,
id0001,id0199,remesh,original,0.333997,0.487688,0.004274,1,
id0001,id0206,remesh,original,0.582220,0.644273,0.005622,1,
id0001,id0207,remesh,original,0.366138,0.390380,0.001821,1,
id0001,id0208,remesh,original,0.272983,0.304841,0.002594,1,
id0001,id0212,remesh,original,0.421550,0.393401,0.003676,1,
id0001,id0220,remesh,original,0.352810,0.342084,0.002122,1,
id0001,id0222,remesh,original,0.346686,0.332114,0.002796,1,
id0001,id0224,remesh,original,0.400929,0.488212,0.003311,1,
id0001,id0233,remesh,original,0.285536,0.394212,0.002559,1,
id0001,id0239,remesh,original,0.522106,0.591325,0.004335,1,
id0001,id0242,remesh,original,0.298460,0.391386,0.002887,1,
id0001,id0246,remesh,original,0.385500,0.335197,0.001778,1,
id0001,id0258,remesh,original,0.322260,0.397701,0.002339,1,
id0001,id0273,remesh,original,0.281542,0.410123,0.002085,1,
id0001,id0275,remesh,original,0.283546,0.237386,0.001246,1,
id0001,id0285,remesh,original,0.310977,0.441515,0.003460,1,
id0001,id0290,remesh,original,0.412985,0.529505,0.004542,1,
id0001,id0296,remesh,original,0.295725,0.307735,0.001879,1,
id0001,id0299,remesh,original,0.273174,0.297888,0.002384,1,
id0001,id0303,remesh,original,0.274224,0.353673,0.004161,1,
id0001,id0319,remesh,original,0.418635,0.370350,0.003249,1,
id0001,id0321,remesh,original,0.346538,0.424449,0.004877,1,
id0001,id0326,remesh,original,0.362382,0.475042,0.004133,1,
id0001,id0328,remesh,original,0.260064,0.393959,0.002883,1,
id0001,id0330,remesh,original,0.382978,0.464405,0.002897,1,
id0001,id0342,remesh,original,0.302526,0.390928,0.002950,1,
id0001,id0346,remesh,original,0.364628,0.434522,0.003139,1,
id0001,id0363,remesh,original,0.316617,0.420655,0.002180,1,
id0001,id0367,remesh,original,0.400716,0.382436,0.002580,1,
id0001,id0368,remesh,original,0.278228,0.286634,0.002327,1,
id0001,id0369,remesh,original,0.323987,0.502132,0.003879,1,
id0001,id0372,remesh,original,0.441989,0.343042,0.001940,1,
id0001,id0373,remesh,original,0.348212,0.451950,0.003508,1,
id0001,id0374,remesh,original,0.441220,0.551133,0.002984,1,
id0001,id0378,remesh,original,0.309927,0.325302,0.002518,1,
id0001,id0381,remesh,original,0.386134,0.348912,0.001996,1,
id0001,id0382,remesh,original,0.362844,0.389123,0.002591,1,
id0001,id0392,remesh,original,0.343611,0.406008,0.002180,1,
id0001,id0396,remesh,original,0.337015,0.469954,0.002815,1,
id0001,id0398,remesh,original,0.483421,0.581516,0.006204,1,
id0001,id0399,remesh,original,0.220824,0.341624,0.002455,1,
id0001,id0401,remesh,original,0.325417,0.428645,0.003016,1,
id0001,id0402,remesh,original,0.362388,0.332438,0.001907,1,
id0001,id0404,remesh,original,0.394736,0.390119,0.002716,1,
id0001,id0411,remesh,original,0.380956,0.459314,0.002901,1,
id0001,id0412,remesh,original,0.338277,0.307875,0.001750,1,
id0001,id0418,remesh,original,0.458799,0.464758,0.003094,1,
id0001,id0421,remesh,original,0.292851,0.306762,0.001537,1,
id0001,id0422,remesh,original,0.320140,0.409558,0.002668,1,
id0001,id0431,remesh,original,0.344573,0.464319,0.003558,1,
id0001,id0437,remesh,original,0.401537,0.523811,0.003720,1,
id0001,id0441,remesh,original,0.291814,0.312551,0.002237,1,
id0001,id0447,remesh,original,0.306172,0.476480,0.006298,1,
id0001,id0460,remesh,original,0.293119,0.392774,0.001779,1,
id0001,id0462,remesh,original,0.310316,0.402122,0.003042,1,
id0001,id0465,remesh,original,0.345278,0.349441,0.002380,1,
id0001,id0466,remesh,original,0.330986,0.451571,0.005144,1,
