subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,up60k,crop,0.322800,0.429530,0.019254,1,
id0001,id0018,up60k,crop,0.366204,0.480486,0.012533,1,
id0001,id0020,up60k,crop,0.345168,0.471685,0.011995,1,
id0001,id0026,up60k,crop,0.465494,0.424437,0.007430,1,
id0001,id0027,up60k,crop,0.364464,0.413139,0.012192,1,
id0001,id0041,up60k,crop,0.287332,0.397138,0.010958,1,
id0001,id0042,up60k,crop,0.491159,0.533257,0.006524,1,
id0001,id0045,up60k,crop,0.360608,0.322217,0.009575,1,
id0001,id0048,up60k,crop,0.335410,0.354045,0.013277,1,
id0001,id0056,up60k,crop,0.350707,0.488461,0.009958,1,
id0001,id0062,up60k,crop,0.483203,0.489931,0.007543,1,
id0001,id0069,up60k,crop,0.345951,0.512976,0.010345,1,
id0001,id0071,up60k,crop,0.455894,0.527980,0.005392,1,
id0001,id0072,up60k,crop,0.337381,0.385180,0.014114,1,
id0001,id0075,up60k,crop,0.409765,0.415553,0.005945,1,
id0001,id0080,up60k,crop,0.454938,0.460426,0.006322,1,
id0001,id0081,up60k,crop,0.402132,0.469290,0.017753,1,
id0001,id0086,up60k,crop,0.362781,0.448140,0.013518,1,
id0001,id0088,up60k,crop,0.287890,0.431034,0.019309,1,
id0001,id0097,up60k,crop,0.271231,0.348199,0.008826,1,
id0001,id0100,up60k,crop,0.340169,0.387368,0.008206,1,
id0001,id0106,up60k,crop,0.399704,0.501367,0.012958,1,
id0001,id0107,up60k,crop,0.313481,0.418417,0.015590,1,
id0001,id0110,up60k,crop,0.337847,0.343591,0.008603,1,
id0001,id0113,up60k,crop,0.369655,0.451805,0.015503,1,
id0001,id0115,up60k,crop,0.352460,0.340454,0.010216,1,
id0001,id0130,up60k,crop,0.292304,0.391201,0.010782,1,
id0001,id0132,up60k,crop,0.290086,0.345050,0.013782,1,
id0001,id0136,up60k,crop,0.364559,0.456842,0.016547,1,
id0001,id0153,up60k,crop,0.290769,0.488684,0.023964,1,
id0001,id0161,up60k,crop,0.321011,0.390020,0.017994,1,
id0001,id0169,up60k,crop,0.339859,0.408883,0.014083,1,
id0001,id0182,up60k,crop,0.353581,0.422570,0.012819,1,
id0001,id0183,up60k,crop,0.377801,0.611717,0.025657,1,
id0001,id0186,up60k,crop,0.276798,0.375395,0.013105,1,
id0001,id0197,up60k,crop,0.349722,0.408507,0.010621,1,
id0001,id0199,up60k,crop,0.333997,0.585159,0.019586,1,
id0001,id0206,up60k,crop,0.582220,0.597840,0.009073,1,
id0001,id0207,up60k,crop,0.366138,0.445176,0.014110,1,
id0001,id0208,up60k,crop,0.272983,0.363315,0.018389,1,
id0001,id0212,up60k,crop,0.421550,0.386187,0.006444,1,
id0001,id0220,up60k,crop,0.352810,0.340712,0.008028,1,
id0001,id0222,up60k,crop,0.346686,0.365454,0.019027,1,
id0001,id0224,up60k,crop,0.400929,0.501101,0.017599,1,
id0001,id0233,up60k,crop,0.285536,0.503473,0.022699,1,
id0001,id0239,up60k,crop,0.522106,0.588057,0.009993,1,
id0001,id0242,up60k,crop,0.298460,0.407069,0.015136,1,
id0001,id0246,up60k,crop,0.385500,0.385847,0.008192,1,
id0001,id0258,up60k,crop,0.322260,0.413674,0.009962,1,
id0001,id0273,up60k,crop,0.281542,0.438766,0.010868,1,
id0001,id0275,up60k,crop,0.283546,0.364146,0.018623,1,
id0001,id0285,up60k,crop,0.310977,0.421600,0.017085,1,
id0001,id0290,up60k,crop,0.412985,0.619780,0.019023,1,
id0001,id0296,up60k,crop,0.295725,0.378482,0.023770,1,
id0001,id0299,up60k,crop,0.273174,0.307732,0.015883,1,
id0001,id0303,up60k,crop,0.274224,0.351120,0.015167,1,
id0001,id0319,up60k,crop,0.418635,0.377505,0.008680,1,
id0001,id0321,up60k,crop,0.346538,0.436609,0.015911,1,
id0001,id0326,up60k,crop,0.362382,0.494308,0.024884,1,
id0001,id0328,up60k,crop,0.260064,0.450380,0.016293,1,
id0001,id0330,up60k,crop,0.382978,0.460489,0.008028,1,
id0001,id0342,up60k,crop,0.302526,0.421786,0.012873,1,
id0001,id0346,up60k,crop,0.364628,0.424049,0.012539,1,
id0001,id0363,up60k,crop,0.316617,0.335011,0.007536,1,
id0001,id0367,up60k,crop,0.400716,0.395464,0.009620,1,
id0001,id0368,up60k,crop,0.278228,0.368109,0.023359,1,
id0001,id0369,up60k,crop,0.323987,0.525690,0.025952,1,
id0001,id0372,up60k,crop,0.441989,0.353577,0.014455,1,
id0001,id0373,up60k,crop,0.348212,0.522004,0.016268,1,
id0001,id0374,up60k,crop,0.441220,0.503638,0.008109,1,
id0001,id0378,up60k,crop,0.309927,0.380566,0.017100,1,
id0001,id0381,up60k,crop,0.386134,0.341295,0.017251,1,
id0001,id0382,up60k,crop,0.362844,0.392716,0.005841,1,
id0001,id0392,up60k,crop,0.343611,0.412840,0.010605,1,
id0001,id0396,up60k,crop,0.337015,0.445078,0.007416,1,
id0001,id0398,up60k,crop,0.483421,0.569259,0.010034,1,
id0001,id0399,up60k,crop,0.220824,0.344099,0.011747,1,
id0001,id0401,up60k,crop,0.325417,0.468409,0.008259,1,
id0001,id0402,up60k,crop,0.362388,0.322773,0.011486,1,
id0001,id0404,up60k,crop,0.394736,0.455763,0.014646,1,
id0001,id0411,up60k,crop,0.380956,0.444241,0.005529,1,
id0001,id0412,up60k,crop,0.338277,0.361035,0.014348,1,
id0001,id0418,up60k,crop,0.458799,0.466168,0.021133,1,
id0001,id0421,up60k,crop,0.292851,0.312860,0.010802,1,
id0001,id0422,up60k,crop,0.320140,0.444552,0.015050,1,
id0001,id0431,up60k,crop,0.344573,0.450538,0.015596,1,
id0001,id0437,up60k,crop,0.401537,0.580893,0.021683,1,
id0001,id0441,up60k,crop,0.291814,0.388863,0.013326,1,
id0001,id0447,up60k,crop,0.306172,0.465500,0.027513,1,
id0001,id0460,up60k,crop,0.293119,0.336587,0.012330,1,
id0001,id0462,up60k,crop,0.310316,0.418400,0.024137,1,
id0001,id0465,up60k,crop,0.345278,0.354721,0.005644,1,
id0001,id0466,up60k,crop,0.330986,0.441642,0.026464,1,
id0001,id0468,up60k,crop,0.465759,0.567429,0.006115,1,
id0001,id0470,up60k,crop,0.426994,0.480678,0.010429,1,
id0001,id0476,up60k,crop,0.308868,0.428585,0.024590,1,
id0001,id0486,up60k,crop,0.323589,0.449914,0.009149,1,
id0001,id0491,up60k,crop,0.320884,0.439207,0.021273,1,
id0001,id0498,up60k,crop,0.339398,0.413106,0.008512,1,
id0004,id0018,up60k,crop,0.299500,0.370514,0.006911,1,
id0004,id0020,up60k,crop,0.366351,0.452571,0.008006,1,
id0004,id0026,up60k,crop,0.416234,0.436232,0.005008,1,
id0004,id0027,up60k,crop,0.248048,0.348957,0.007094,1,
id0004,id0041,up60k,crop,0.345277,0.450953,0.007565,1,
id0004,id0042,up60k,crop,0.487255,0.603966,0.004755,1,
id0004,id0045,up60k,crop,0.324312,0.409651,0.005606,1,
id0004,id0048,up60k,crop,0.238472,0.292133,0.007814,1,
id0004,id0056,up60k,crop,0.478388,0.513147,0.006086,1,
id0004,id0062,up60k,crop,0.511633,0.619633,0.005542,1,
id0004,id0069,up60k,crop,0.343675,0.445498,0.006276,1,
id0004,id0071,up60k,crop,0.480545,0.617517,0.004831,1,
id0004,id0072,up60k,crop,0.344321,0.410678,0.009407,1,
id0004,id0075,up60k,crop,0.372617,0.437063,0.004039,1,
id0004,id0080,up60k,crop,0.425929,0.545247,0.004160,1,
id0004,id0081,up60k,crop,0.350165,0.449090,0.011285,1,
id0004,id0086,up60k,crop,0.333849,0.489090,0.009661,1,
id0004,id0088,up60k,crop,0.324047,0.428602,0.012753,1,
id0004,id0097,up60k,crop,0.372316,0.446365,0.006257,1,
id0004,id0100,up60k,crop,0.327457,0.477486,0.006076,1,
id0004,id0106,up60k,crop,0.425352,0.492398,0.008501,1,
