subject_a,subject_b,topology_a,topology_b,gt_distance,latent_distance,raw_chamfer,n_mesh_pairs,mesh_pair_index
id0001,id0004,up60k,original,0.322800,0.398717,0.004094,1,
id0001,id0018,up60k,original,0.366204,0.490606,0.006960,1,
id0001,id0020,up60k,original,0.345168,0.479819,0.007296,1,
id0001,id0026,up60k,original,0.465494,0.553876,0.003241,1,
id0001,id0027,up60k,original,0.364464,0.413748,0.003426,1,
id0001,id0041,up60k,original,0.287332,0.328852,0.001592,1,
id0001,id0042,up60k,original,0.491159,0.560659,0.002809,1,
id0001,id0045,up60k,original,0.360608,0.316152,0.001593,1,
id0001,id0048,up60k,original,0.335410,0.364212,0.005493,1,
id0001,id0056,up60k,original,0.350707,0.427206,0.001351,1,
id0001,id0062,up60k,original,0.483203,0.483076,0.002033,1,
id0001,id0069,up60k,original,0.345951,0.469757,0.003765,1,
id0001,id0071,up60k,original,0.455894,0.469740,0.002853,1,
id0001,id0072,up60k,original,0.337381,0.337218,0.002335,1,
id0001,id0075,up60k,original,0.409765,0.477830,0.003012,1,
id0001,id0080,up60k,original,0.454938,0.504800,0.002823,1,
id0001,id0081,up60k,original,0.402132,0.482914,0.003393,1,
id0001,id0086,up60k,original,0.362781,0.423724,0.003859,1,
id0001,id0088,up60k,original,0.287890,0.389612,0.004326,1,
id0001,id0097,up60k,original,0.271231,0.355618,0.003744,1,
id0001,id0100,up60k,original,0.340169,0.384377,0.003187,1,
id0001,id0106,up60k,original,0.399704,0.533193,0.003873,1,
id0001,id0107,up60k,original,0.313481,0.387290,0.004631,1,
id0001,id0110,up60k,original,0.337847,0.406959,0.005093,1,
id0001,id0113,up60k,original,0.369655,0.414220,0.002845,1,
id0001,id0115,up60k,original,0.352460,0.379951,0.001587,1,
id0001,id0130,up60k,original,0.292304,0.348606,0.001168,1,
id0001,id0132,up60k,original,0.290086,0.298965,0.001357,1,
id0001,id0136,up60k,original,0.364559,0.405540,0.003076,1,
id0001,id0153,up60k,original,0.290769,0.416287,0.004750,1,
id0001,id0161,up60k,original,0.321011,0.374362,0.002274,1,
id0001,id0169,up60k,original,0.339859,0.359653,0.002136,1,
id0001,id0182,up60k,original,0.353581,0.464145,0.005012,1,
id0001,id0183,up60k,original,0.377801,0.552626,0.007632,1,
id0001,id0186,up60k,original,0.276798,0.340361,0.001843,1,
id0001,id0197,up60k,original,0.349722,0.398912,0.003915,1,
id0001,id0199,up60k,original,0.333997,0.456142,0.005263,1,
id0001,id0206,up60k,original,0.582220,0.654292,0.005429,1,
id0001,id0207,up60k,original,0.366138,0.393265,0.001754,1,
id0001,id0208,up60k,original,0.272983,0.299670,0.003117,1,
id0001,id0212,up60k,original,0.421550,0.383706,0.004163,1,
id0001,id0220,up60k,original,0.352810,0.332976,0.002603,1,
id0001,id0222,up60k,original,0.346686,0.313556,0.003875,1,
id0001,id0224,up60k,original,0.400929,0.480867,0.003121,1,
id0001,id0233,up60k,original,0.285536,0.380798,0.002902,1,
id0001,id0239,up60k,original,0.522106,0.588709,0.003337,1,
id0001,id0242,up60k,original,0.298460,0.381109,0.002693,1,
id0001,id0246,up60k,original,0.385500,0.342061,0.001194,1,
id0001,id0258,up60k,original,0.322260,0.385079,0.002576,1,
id0001,id0273,up60k,original,0.281542,0.401165,0.002188,1,
id0001,id0275,up60k,original,0.283546,0.239171,0.001626,1,
id0001,id0285,up60k,original,0.310977,0.435263,0.003933,1,
id0001,id0290,up60k,original,0.412985,0.513231,0.005812,1,
id0001,id0296,up60k,original,0.295725,0.293777,0.002338,1,
id0001,id0299,up60k,original,0.273174,0.290608,0.002922,1,
id0001,id0303,up60k,original,0.274224,0.343890,0.005087,1,
id0001,id0319,up60k,original,0.418635,0.375300,0.003975,1,
id0001,id0321,up60k,original,0.346538,0.403164,0.006481,1,
id0001,id0326,up60k,original,0.362382,0.458373,0.004948,1,
id0001,id0328,up60k,original,0.260064,0.368179,0.003053,1,
id0001,id0330,up60k,original,0.382978,0.453199,0.002995,1,
id0001,id0342,up60k,original,0.302526,0.374899,0.002695,1,
id0001,id0346,up60k,original,0.364628,0.432937,0.003250,1,
id0001,id0363,up60k,original,0.316617,0.428906,0.001559,1,
id0001,id0367,up60k,original,0.400716,0.366485,0.001791,1,
