pair_label,n_pairs,raw_chamfer,rigid_bbox,rigid_noprealign
crop__to__down8k,300,0.13706196735519283,0.15335548172757474,0.14269136323736928
crop__to__noisy,300,0.19101323348037197,0.16301870020778006,0.16129379215324613
crop__to__original,300,0.19695018833542594,0.16897254413937932,0.16742052689474324
crop__to__remesh,300,0.13318147979421993,0.1791682129801442,0.1663627373637485
crop__to__up60k,300,0.15031544794942164,0.17834020378004195,0.15946888298758874
down8k__to__crop,300,0.061878020866898524,0.06489849887220968,0.020976233069256323
down8k__to__noisy,300,0.3238529316992411,0.4677954199491105,0.4784146490516561
down8k__to__original,300,0.2546366070734119,0.44898987766530735,0.43818531317014625
down8k__to__remesh,300,0.4525454727274747,0.31558128423649145,0.3155532839253769
down8k__to__up60k,300,0.5726716963521816,0.45432727030300335,0.47984533161479564
noisy__to__crop,300,0.14662296247736084,0.12197335525950287,0.0760066222958033
noisy__to__down8k,300,0.3279018655762842,0.35561550683896487,0.3597195524394715
noisy__to__original,300,0.6023858042867142,0.45605173390815446,0.47283103145590505
noisy__to__remesh,300,0.5111061234013711,0.43355726174735276,0.4263949599439993
noisy__to__up60k,300,0.44906410071223013,0.44771519683552036,0.4585077611973466
original__to__crop,300,0.15944399382215357,0.13857620640229332,0.09331037011522349
original__to__down8k,300,0.28433649262769584,0.3253493927710308,0.32627740308225645
original__to__noisy,300,0.613736152623918,0.4144886054289492,0.4608882320914676
original__to__remesh,300,0.465462505138946,0.43041633795931067,0.431571906354515
original__to__up60k,300,0.39491727685863176,0.4248776097512194,0.43726085845398277
remesh__to__crop,300,0.12389070989677663,0.20375248613873487,0.1960066222958033
remesh__to__down8k,300,0.3879518661318459,0.29624062489583214,0.26233091478794207
remesh__to__noisy,300,0.5529332548139424,0.3926239180435338,0.4098961099567773
remesh__to__original,300,0.5129763664040712,0.4184677607528972,0.43684529828109203
remesh__to__up60k,300,0.5316881298681096,0.41820064667385193,0.3800713341259347
up60k__to__crop,300,0.08229202546694962,0.1379033100367782,0.0811506794519939
up60k__to__down8k,300,0.5492483249813886,0.39124256936188173,0.40603873376370847
up60k__to__noisy,300,0.47595595506616734,0.4644256047289414,0.4944081600906676
up60k__to__original,300,0.4044462716252402,0.47681240902676697,0.48424849164990713
up60k__to__remesh,300,0.5684414271269681,0.4418097978866431,0.42586739852665023
